instruction,n,onset_depth,tail_depth,matched_depth,p_onset_vs_matched,p_onset_vs_tail
Remain,762,2.4420384951881,2.89451754385965,3.36068090076417,3.33277586619692e-42,8.04767612711136e-10
Synchronise,730,3.13799202790234,3.20119760479042,3.93611588062522,8.89960223271491e-54,0.195381801114264
