DUID,delta_star,cheap_m,cheap_se,avail_m,avail_se,above_m,above_se,dcheap_m,dcheap_se,davail_m,davail_se,dabove_m,dabove_se,n_ep,fixed_set
BARKIPS1,-24,0.0593015873015873,0.0310704550106762,0.912285553952221,0.0157746077052084,0.932917640845573,0.0355132403412364,0,0,0,0,0,0,22,22
BARKIPS1,-18,0.0582970750589798,0.0277331316083829,0.908605900272567,0.0161247753371473,0.933555716193775,0.0326925439205281,-0.00100451224260748,0.012414463584025,-0.00367965367965368,0.00367965367965368,0.00063807534820161,0.0125685935822751,22,22
BARKIPS1,-12,0.0582970750589798,0.0277331316083829,0.904926246592913,0.015540906968795,0.933555716193775,0.0326925439205281,-0.00100451224260748,0.012414463584025,-0.00735930735930736,0.00507840454927274,0.00063807534820161,0.0125685935822751,22,22
BARKIPS1,-9,0.0582970750589798,0.0277331316083829,0.908521202361782,0.0161223858539113,0.933555716193775,0.0326925439205281,-0.00100451224260748,0.012414463584025,-0.00376435159043855,0.00647198232177981,0.00063807534820161,0.0125685935822751,22,22
BARKIPS1,-6,0.0582970750589798,0.0277331316083829,0.904625098465678,0.0164683042595696,0.933555716193775,0.0326925439205281,-0.00100451224260748,0.012414463584025,-0.00766045548654244,0.00746119225057346,0.00063807534820161,0.0125685935822751,22,22
BARKIPS1,-4,0.0582970750589798,0.0277331316083829,0.904625098465678,0.0164683042595696,0.933555716193775,0.0326925439205281,-0.00100451224260748,0.012414463584025,-0.00766045548654244,0.00746119225057346,0.00063807534820161,0.0125685935822751,22,22
BARKIPS1,-3,0.0508165555784603,0.0273746539244694,0.904625098465678,0.0164683042595696,0.941036235674294,0.0324784826627813,-0.00848503172312696,0.0191229972407163,-0.00766045548654244,0.00746119225057346,0.00811859482872109,0.0192302034003495,22,22
BARKIPS1,-2,0.0508165555784603,0.0273746539244694,0.904625098465678,0.0164683042595696,0.941036235674294,0.0324784826627813,-0.00848503172312696,0.0191229972407163,-0.00766045548654244,0.00746119225057346,0.00811859482872109,0.0192302034003495,22,22
BARKIPS1,-1,0.0508165555784603,0.0273746539244694,0.862410845057395,0.0442358142732095,0.93822843737307,0.0339361888734408,-0.00848503172312696,0.0191229972407163,-0.0498747088948257,0.0457223342085281,0.00850519458246972,0.0201647313345389,22,22
BARKIPS1,0,0.0508165555784603,0.0273746539244694,0.862410845057395,0.0442358142732095,0.93822843737307,0.0339361888734408,-0.00848503172312696,0.0191229972407163,-0.0498747088948257,0.0457223342085281,0.00850519458246972,0.0201647313345389,22,22
DRYCGT2,-24,0,0,0.91166398022781,0.0434777235140164,1,0,0,0,0,0,0,0,11,11
DRYCGT2,-18,0,0,0.907795508274232,0.0434317531601539,1,0,0,0,-0.00386847195357834,0.00386847195357834,0,0,11,11
DRYCGT2,-12,0,0,0.952282935740383,0.011934808965977,1,0,0,0,0.0406189555125725,0.0450390491784583,0,0,11,11
DRYCGT2,-9,0,0,0.952282935740383,0.011934808965977,1,0,0,0,0.0406189555125725,0.0450390491784583,0,0,11,11
DRYCGT2,-6,0,0,0.952282935740383,0.011934808965977,1,0,0,0,0.0406189555125725,0.0450390491784583,0,0,11,11
DRYCGT2,-4,0,0,0.952282935740383,0.011934808965977,1,0,0,0,0.0406189555125725,0.0450390491784583,0,0,11,11
DRYCGT2,-3,0,0,0.952282935740383,0.011934808965977,1,0,0,0,0.0406189555125725,0.0450390491784583,0,0,11,11
DRYCGT2,-2,0,0,0.952282935740383,0.011934808965977,1,0,0,0,0.0406189555125725,0.0450390491784583,0,0,11,11
DRYCGT2,-1,0,0,0.952282935740383,0.011934808965977,1,0,0,0,0.0406189555125725,0.0450390491784583,0,0,11,11
DRYCGT2,0,0,0,0.952282935740383,0.011934808965977,1,0,0,0,0.0406189555125725,0.0450390491784583,0,0,11,11
DRYCGT3,-24,0,0,0.965723046590767,0.00596352158891464,1,0,0,0,0,0,0,0,14,14
DRYCGT3,-18,0,0,0.96341997271934,0.00661601939041127,1,0,0,0,-0.00230307387142724,0.00194921323912302,0,0,14,14
DRYCGT3,-12,0,0,0.964719622819404,0.00678604676899821,1,0,0,0,-0.00100342377136332,0.00266404056170073,0,0,14,14
DRYCGT3,-9,0,0,0.963642173206018,0.00643142293119515,1,0,0,0,-0.00208087338474905,0.00284458797989876,0,0,14,14
DRYCGT3,-6,0,0,0.963642173206018,0.00643142293119515,1,0,0,0,-0.00208087338474905,0.00284458797989876,0,0,14,14
DRYCGT3,-4,0,0,0.963642173206018,0.00643142293119515,1,0,0,0,-0.00208087338474905,0.00284458797989876,0,0,14,14
DRYCGT3,-3,0,0,0.963642173206018,0.00643142293119515,1,0,0,0,-0.00208087338474905,0.00284458797989876,0,0,14,14
DRYCGT3,-2,0,0,0.963642173206018,0.00643142293119515,1,0,0,0,-0.00208087338474905,0.00284458797989876,0,0,14,14
DRYCGT3,-1,0,0,0.963642173206018,0.00643142293119515,1,0,0,0,-0.00208087338474905,0.00284458797989876,0,0,14,14
DRYCGT3,0,0,0,0.963642173206018,0.00643142293119515,1,0,0,0,-0.00208087338474905,0.00284458797989876,0,0,14,14
MINTARO,-24,0,0,0.934461194401991,0.00463146060836591,1,0,0,0,0,0,0,0,192,192
MINTARO,-18,0.00468164794007491,0.00468164794007491,0.926545937109308,0.00739157197225286,0.995293840814166,0.00470615918583446,0.00468164794007491,0.00468164794007491,-0.00791525729268301,0.0062047971599239,-0.00470615918583446,0.00470615918583446,192,192
MINTARO,-12,0.00721347664377861,0.0053107313496872,0.92003967498426,0.00856231155178774,0.992679396998269,0.00537156728316075,0.00721347664377861,0.0053107313496872,-0.0144215194177304,0.00768189209987394,-0.00732060300173061,0.00537156728316075,192,192
MINTARO,-9,0.00721347664377861,0.0053107313496872,0.916771391769523,0.00933525281271984,0.992640867508787,0.00539977456720753,0.00721347664377861,0.0053107313496872,-0.0176898026324681,0.00789774992457916,-0.00735913249121341,0.00539977456720753,192,192
MINTARO,-6,0.00721347664377861,0.0053107313496872,0.917528560769662,0.00905667825872426,0.992679396998269,0.00537156728316075,0.00721347664377861,0.0053107313496872,-0.0169326336323287,0.00931862524673027,-0.00732060300173061,0.00537156728316075,192,192
MINTARO,-4,0.00642547649544917,0.00373108463817584,0.909180043583956,0.0109215201937019,0.993024334173275,0.00404071425171176,0.00642547649544917,0.00373108463817584,-0.0252811508180342,0.00955743764688796,-0.00697566582672474,0.00404071425171176,192,192
MINTARO,-3,0.0109630737296756,0.00584854515743039,0.909436677043278,0.0109243125865422,0.988401125666572,0.00611214724178258,0.0109630737296756,0.00584854515743039,-0.0250245173587126,0.00955746929129526,-0.0115988743334284,0.00611214724178258,192,192
MINTARO,-2,0.0113141973251812,0.00596051953267641,0.912301362765458,0.0105104655474193,0.988018335894714,0.00623944811256131,0.0113141973251812,0.00596051953267641,-0.0221598316365325,0.00919800597143487,-0.0119816641052857,0.00623944811256131,192,192
MINTARO,-1,0.0113141973251812,0.00596051953267641,0.911399521239251,0.0105708394477394,0.988018335894714,0.00623944811256131,0.0113141973251812,0.00596051953267641,-0.0230616731627395,0.00923143598323486,-0.0119816641052857,0.00623944811256131,192,192
MINTARO,0,0.0113141973251812,0.00596051953267641,0.881074900493925,0.0126932737252762,0.988081397284742,0.00620684239464386,0.0113141973251812,0.00596051953267641,-0.053386293908066,0.0129383751556829,-0.0119186027152579,0.00620684239464386,192,192
OSB-AG,-24,0,0,0,0,,,0,0,0,0,,,11,11
OSB-AG,-18,0,0,0,0,,,0,0,0,0,,,11,11
OSB-AG,-12,0,0,0,0,,,0,0,0,0,,,11,11
OSB-AG,-9,0,0,0,0,,,0,0,0,0,,,11,11
OSB-AG,-6,0,0,0,0,,,0,0,0,0,,,11,11
OSB-AG,-4,0,0,0,0,,,0,0,0,0,,,11,11
OSB-AG,-3,0,0,0,0,,,0,0,0,0,,,11,11
OSB-AG,-2,0,0,0,0,,,0,0,0,0,,,11,11
OSB-AG,-1,0,0,0,0,,,0,0,0,0,,,11,11
