instruction,e,mean_depth,sd,n,se,lo,hi
Remain,-12,2.38057742782152,1.25636932317929,381,0.0643657502587164,2.25442055731444,2.50673429832861
Remain,-11,2.39107611548556,1.26566984427911,381,0.0648422303886767,2.26398534392376,2.51816688704737
Remain,-10,2.39107611548556,1.26358893506661,381,0.0647356221802369,2.2641942960123,2.51795793495883
Remain,-9,2.39632545931759,1.26611180146047,381,0.0648648725409769,2.26919030913727,2.5234606094979
Remain,-8,2.40419947506562,1.26257181227747,381,0.0646835134012177,2.27741978879923,2.530979161332
Remain,-7,2.40419947506562,1.26257181227747,381,0.0646835134012177,2.27741978879923,2.530979161332
Remain,-6,2.43307086614173,1.28303024032809,381,0.0657316304208689,2.30423687051683,2.56190486176664
Remain,-5,2.44094488188976,1.28955445165999,381,0.0660658758927034,2.31145576514007,2.57043399863946
Remain,-4,2.44356955380577,1.29780862408708,381,0.0664887499562709,2.31325160389148,2.57388750372007
Remain,-3,2.43832020997375,1.29350658140696,381,0.0662683496331792,2.30843424469272,2.56820617525478
Remain,-2,2.43832020997375,1.29147052550508,381,0.0661640393294533,2.30863869288802,2.56800172705948
Remain,-1,2.44356955380577,1.29171117169071,381,0.0661763680070157,2.31386387251202,2.57327523509953
Remain,0,2.44094488188976,1.29362939035319,381,0.0662746413260893,2.31104658489063,2.5708431788889
Remain,1,2.44094488188976,1.29971784371447,381,0.0665865622408104,2.31043521989778,2.57145454388175
Remain,2,2.43307086614173,1.29120843754031,381,0.0661506121562687,2.30341566631545,2.56272606596802
Remain,3,2.43307086614173,1.29120843754031,381,0.0661506121562687,2.30341566631545,2.56272606596802
Remain,4,2.43569553805774,1.29337842050884,381,0.0662617837514682,2.30582244190487,2.56556863421062
Remain,5,2.43832020997375,1.29350658140696,381,0.0662683496331792,2.30843424469272,2.56820617525478
Remain,6,2.44094488188976,1.2976915332139,381,0.0664827512091179,2.31063868951989,2.57125107425964
Remain,7,2.45144356955381,1.30015353955311,381,0.0666088836148057,2.32089015766879,2.58199698143883
Remain,8,2.45144356955381,1.30621158320415,381,0.0669192465928769,2.32028184623177,2.58260529287584
Remain,9,2.4488188976378,1.31214164882809,381,0.0672230530580033,2.31706171364411,2.58057608163148
Remain,10,2.44356955380577,1.30387756267182,381,0.0667996710987041,2.31264219845231,2.57449690915923
Remain,11,2.4488188976378,1.30812437894867,381,0.0670172420874467,2.3174651031464,2.58017269212919
Remain,12,2.45669291338583,1.32042201494632,381,0.0676472690650195,2.32410426601839,2.58928156075327
Remain,13,2.45931758530184,1.32448542398467,381,0.0678554438162933,2.3263209154219,2.59231425518177
Remain,14,2.45931758530184,1.3224970625499,381,0.0677535769741369,2.32652057443253,2.59211459617115
Remain,15,2.46194225721785,1.32058416373176,381,0.0676555761989453,2.32933732786792,2.59454718656778
Remain,16,2.46194225721785,1.32058416373176,381,0.0676555761989453,2.32933732786792,2.59454718656778
Remain,17,2.45931758530184,1.32050570712828,381,0.067651556745388,2.32672053408088,2.5919146365228
Remain,18,2.4488188976378,1.30005259863626,381,0.0666037122549791,2.31827562161804,2.57936217365755
Remain,19,2.43832020997375,1.30161895642391,381,0.0666839591953617,2.30761964995084,2.56902076999666
Remain,20,2.44094488188976,1.29971784371447,381,0.0665865622408104,2.31043521989778,2.57145454388175
Remain,21,2.44356955380577,1.29577932799534,381,0.0663847859681092,2.31345537330828,2.57368373430327
Remain,22,2.4488188976378,1.28989184420524,381,0.0660831610364156,2.31929590200642,2.57834189326917
Remain,23,2.45406824146982,1.29619503306867,381,0.0664060831841726,2.32391231842884,2.58422416451079
Remain,24,2.44094488188976,1.26482915409919,381,0.0647991605260435,2.31393852725872,2.56795123652081
Synchronise,-12,2.98363095238095,1.36532530009382,672,0.0526685668981189,2.88040056126064,3.08686134350127
Synchronise,-11,3.00744047619048,1.38059944950329,672,0.0532577800035442,2.90305522738353,3.11182572499742
Synchronise,-10,3.01041666666667,1.37625546712081,672,0.0530902072450963,2.90635986046628,3.11447347286706
Synchronise,-9,3.01934523809524,1.38048378736963,672,0.0532533182398726,2.91496873434509,3.12372174184539
Synchronise,-8,3.02529761904762,1.37930733846509,672,0.0532079357381151,2.92101006500091,3.12958517309432
