episode_id,duid,instruction,yyyymm,comp,pred_gross,pred_wedge,pred_rta,rta,addl,gas_gj
1136,TORRB3,Remain,202311,63403.7131362,139469.992706297,37642.1692712964,154140.226841307,-14670.23413501,19621.6534326208,11.23
1146,TORRB3,Synchronise,202401,1406.963312724,200404.81643,200404.81643,199915.97126245,488.84516755,25901.0778396626,11.65
1153,TORRB3,Remain,202401,86504.94718139,22305.2286775,22305.2286775,47557.2367865,-25252.008109,36278.7199427659,11.65
1154,TORRB3,Synchronise,202401,55801.070058495,0,0,2099.87602404,-2099.87602404,42796.7371412606,11.65
1159,TORRB3,Synchronise,202403,7269.653788852,22382.794375,0,23031.71612499,-648.92174999,39357.52,11.65
1162,TORRB3,Remain,202403,82316.52725016,18726.9379604167,18726.9379604167,12403.6432717967,6323.29468862,30380.6,11.65
1163,TORRB3,Synchronise,202404,35983.40112399,117819.335972432,51756.4760724323,117878.517375132,-59.1814027,52993.9634006999,13.86
1164,TORRB3,Remain,202404,204271.80085104,348426.142419749,348426.142419749,298750.790312169,49675.35210758,84782.4531103999,13.86
1165,TORRB3,Synchronise,202404,33426.546325074,64277.3772,0,55958.76596137,8318.61123863,44808.5134684245,13.86
1168,TORRB3,Remain,202404,49360.34794585,95566.2391218554,14326.7762718554,94184.0658059854,1382.17331587,20599.5742418668,13.86
1169,TORRB3,Remain,202404,29371.424543955,74515.03742135,25414.26317135,76108.46542076,-1593.42799941,12216.8682489943,13.86
1171,TORRB3,Synchronise,202404,49773.02784587,112689.803976034,31450.3411260337,113960.117841904,-1270.31386587,20571.9378022233,13.86
1172,TORRB3,Synchronise,202404,49143.632716445,141841.7214925,60602.2586425003,145091.68448321,-3249.96299071,20457.54,13.86
1173,TORRB3,Synchronise,202405,45730.523202075,123707.249915383,48919.9999153834,126037.709989053,-2330.46007367,20724.15,13.86
1174,TORRB3,Synchronise,202405,32199.53855967,134118.86925165,80448.0192516505,130132.97333715,3985.8959145,14925.411217657,13.86
1175,TORRB3,Synchronise,202405,50677.510819068,0,0,6037.23126484,-6037.23126484,50408.35,13.86
1176,TORRB3,Synchronise,202405,26588.11218678,143455.941567234,95064.1915672337,140085.830407024,3370.11116021,57912,13.86
1178,TORRB3,Remain,202406,79552.40691804,240948.157908734,112953.757908734,141074.479994554,99873.67791418,37702.4,13.86
1179,TORRB3,Remain,202406,114387.73063155,211804.2104937,211804.2104937,182652.00111233,29152.20938137,41924.79,13.86
1180,TORRB3,Remain,202407,109985.796716435,201690.95654403,201690.95654403,192558.66449184,9132.29205219,28932.8,12.78
1181,TORRB3,Synchronise,202407,10402.627952756,26527.704027,611.900907000014,26138.57562761,389.12839939,37800.85,12.78
1184,TORRB3,Synchronise,202407,49979.593698456,0,0,17763.44218132,-17763.44218132,34221.98,12.78
1185,TORRB3,Synchronise,202407,41895.647955548,0,0,8435.61592062,-8435.61592062,27239.72,12.78
1186,TORRB3,Remain,202408,131610.2846166,248554.607333088,248554.607333088,253596.855975658,-5042.24864257,18417.7271250695,12.78
1187,TORRB3,Remain,202408,139018.82912463,321656.741711285,321656.741711285,316642.620057415,5014.12165387,16132.4827634105,12.78
1190,TORRB3,Remain,202408,131547.7467069,375243.740319369,375243.740319369,346203.086046159,29040.65427321,16805.388347406,12.78
1200,TORRB3,Remain,202409,65859.412833785,182452.82333985,76835.0897398503,193981.20945758,-11528.38611773,0,12.78
1205,TORRB3,Remain,202410,36815.6864825,0,0,-118849.0503367,118849.0503367,20434.7147307229,13.55
1207,TORRB3,Remain,202410,113908.5522048,36495.2387854168,0,26154.2615466067,10340.97723881,0,13.55
1208,TORRB3,Synchronise,202410,90641.1472310501,12103.4842554167,12103.4842554167,35938.1339114867,-23834.64965607,21637.6730521922,13.55
1209,TORRB3,Synchronise,202410,89714.236200645,9904.53062733335,0,29980.5955190834,-20076.06489175,8510.54343371136,13.55
1210,TORRB3,Synchronise,202410,158347.126477995,85278.7478454166,85278.7478454166,84796.0000157366,482.747829680002,0,13.55
1215,TORRB3,Synchronise,202411,67018.164975048,211253.142781801,89478.3427818006,230042.292636351,-18789.14985455,33259.74,13.55
1216,TORRB3,Remain,202411,74436.07843644,136605.6947976,14830.8947976,130437.09061189,6168.60418571,0,13.55
1220,TORRB3,Remain,202411,53337.30363528,107486.2613006,19227.4613006001,101707.56647977,5778.69482083,0,13.55
1425,TORRB4,Synchronise,202311,31291.46783424,81049.2517912493,24063.0386762492,89731.1899061793,-8681.93811493,44038.1197127247,11.23
1427,TORRB4,Remain,202311,58734.43180185,112773.535954084,16550.9138090834,132080.472766744,-19306.93681266,29189.5229381424,11.23
1429,TORRB4,Remain,202311,62922.656886405,127464.790644579,26571.1674245784,143413.293004599,-15948.50236002,22128.233390231,11.23
1431,TORRB4,Synchronise,202311,32426.067914053,0,0,-5999.62655908,5999.62655908,30754.7765681283,11.23
1432,TORRB4,Synchronise,202311,43695.063075118,0,0,14278.03795268,-14278.03795268,43420.3420063576,11.23
1436,TORRB4,Remain,202312,57917.2452768,0,0,-4853.94741037,4853.94741037,29122.1187237358,11.23
1443,TORRB4,Remain,202402,50126.792644995,85364.5472407615,4760.6885407615,89197.4675541915,-3832.92031343,18386.430241258,11.65
1445,TORRB4,Remain,202402,60581.026900845,0,0,-12111.47826319,12111.47826319,23254.7004457109,11.65
1447,TORRB4,Remain,202403,102571.87353735,40259.1861491666,40259.1861491666,34180.7177052566,6078.46844391001,41028.6092507083,11.65
1448,TORRB4,Synchronise,202403,36622.1991226,81030.5082414316,15672.7486664316,79619.4862351416,1411.02200629,41483.72,11.65
1451,TORRB4,Synchronise,202406,20873.083344934,42902.40471545,5570.70471545,38257.28986785,4645.1148476,51203.62,13.86
1452,TORRB4,Synchronise,202406,38901.81024147,0,0,-4533.69974366,4533.69974366,15879.2677563891,13.86
1454,TORRB4,Remain,202407,275524.412471065,539361.225725475,539361.225725475,443743.426262735,95617.79946274,88956.26,12.78
1462,TORRB4,Synchronise,202408,23918.383067975,52719.0156120001,5011.17265200004,55403.9184547001,-2684.9028427,42679.26,12.78
1463,TORRB4,Synchronise,202409,35380.62,71613.7932819311,11103.6334069311,71613.7932819311,0,30441.08,12.78
1468,TORRB4,Remain,202409,68893.813963,190967.920122107,77648.8934471071,195246.846624677,-4278.92650257,0,12.78
1472,TORRB4,Remain,202409,148091.3989486,71456.9978887502,71456.9978887502,35644.3318844002,35812.66600435,0,12.78
1485,TORRB4,Synchronise,202411,59412.361118847,0,0,10500.19027388,-10500.19027388,37657.1746383002,13.55
1486,TORRB4,Synchronise,202411,120222.297696765,41243.3000000001,0,42587.1144608402,-1343.81446084,28092.70268155,13.55
1489,TORRB4,Remain,202411,138374.34651852,303381.9057066,303381.9057066,298353.16332909,5028.74237751001,8015.74523474206,13.55
1490,TORRB4,Synchronise,202411,79810.59314676,0,0,-4087.56060737,4087.56060737,0,13.55
1491,TORRB4,Synchronise,202412,4028.070651675,47451.3769653332,32810.5248953332,47141.5456011932,309.83136414,39449.7186073936,13.55
