episode_id,duid,instruction,yyyymm,comp,pred_gross,pred_wedge,pred_rta,rta,addl,gas_gj
339,OSB-AG,Synchronise,202403,0,180062.268884827,16205.2921969104,180062.268884827,0,0,11.65
524,PPCCGT,Remain,202311,58919.97100171,0,0,-19151.05322104,19151.05322104,0,11.23
525,PPCCGT,Remain,202401,44451.87562668,0,0,-14095.52696118,14095.52696118,0,11.65
526,PPCCGT,Synchronise,202403,528139.297866153,249404.814213521,0,217999.101464201,31405.71274932,0,11.65
529,PPCCGT,Remain,202403,194010.16217293,13235.6924070834,13235.6924070834,-36756.8179484266,49992.51035551,0,11.65
531,PPCCGT,Remain,202404,14788.07228242,35248.4043025,3823.90878249997,33035.54274155,2212.86156095,0,13.86
532,PPCCGT,Remain,202408,14259.17981376,0,0,2109.85157129,-2109.85157129,0,12.78
533,PPCCGT,Remain,202409,244356.23043765,118945.436086185,0,-64025.7565340254,182971.19262021,0,12.78
534,PPCCGT,Remain,202410,113862.35494912,51060.7206759166,51060.7206759166,5082.66711356658,45978.05356235,0,13.55
536,PPCCGT,Remain,202410,47144.326194,0,0,9777.38643199,-9777.38643199,0,13.55
537,PPCCGT,Remain,202412,146185.3008,300524.762833324,300524.762833324,300456.459534524,68.3032988000029,0,13.55
539,PPCCGT,Remain,202412,155074.878,325900.039497376,325900.039497376,337700.821558776,-11800.7820614,0,13.55
540,PPCCGT,Remain,202412,103893.9048,261292.143614973,118262.281084973,277818.914393523,-16526.77077855,0,13.55
541,PPCCGT,Remain,202412,91811.4371999999,350247.892114977,221858.881654977,357199.963619727,-6952.07150475,0,13.55
813,TORRB2,Remain,202311,61943.991703595,113706.640352231,17484.0182072311,119077.827608541,-5371.18725631,27622.5699219533,11.23
814,TORRB2,Remain,202311,50347.56587357,142636.99137966,64164.1733196596,134376.83867555,8260.15270410999,25355.6293414456,11.23
815,TORRB2,Remain,202311,115543.9504764,45713.5305206667,45713.5305206667,63504.7980527567,-17791.26753209,34178.3657999756,11.23
817,TORRB2,Remain,202311,62155.86359745,0,0,3858.53757828,-3858.53757828,29947.1214470259,11.23
