DUID,n_withheld,withdrawn_only,priced_out_only,both,neither_flagged
TORRB2,275478,69.4,9.9,20.7,0
TORRB3,264895,52.5,14.2,33.3,0
TORRB4,276395,64.6,13.8,21.7,0
PPCCGT,176181,84.8,0.8,14.4,0
OSB-AG,224846,99.4,0,0.6,0
