station,p_pivotal,mean_k,median_k,0,1,2,3,4,5,6
torrens_island_b,1.29,3.1,3,1.29,14.12,26.51,23.52,12.85,11.81,9.9
pelican_point_gt,0.08,3.56,3,0.08,3.16,19.38,29.6,23.62,15.56,8.6
mintaro,0.01,4.27,4,0.01,0.36,7.7,29.55,28.65,12.88,20.84
quarantine_5,0.01,3.6,3,0.01,2.41,25.43,29.7,17.92,8.93,15.6
