k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,5974,1806,1.89,33.05
1,151747,2425,48.08,44.37
2,67467,751,21.37,13.74
3,36300,243,11.5,4.45
4,23456,93,7.43,1.7
5,16024,147,5.08,2.69
6,11958,0,3.79,0
7,2605,0,0.83,0
8+,115,0,0.04,0
