k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,27,0,0.01,0
1,2253,8,0.71,1.23
2,28719,194,9.1,29.89
3,107250,342,33.98,52.7
4,76397,87,24.2,13.41
5,37111,18,11.76,2.77
6,25328,0,8.02,0
7,24398,0,7.73,0
8+,14163,0,4.49,0
