k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,9626,1778,3.05,49.36
1,164027,1649,51.97,45.78
2,78713,175,24.94,4.86
3,38273,0,12.13,0
4,18691,0,5.92,0
5,5377,0,1.7,0
6,872,0,0.28,0
7,67,0,0.02,0
8+,0,0,0,0
