k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,0,0,0,
1,4560,0,1.44,
2,37586,0,11.91,
3,111770,0,35.41,
4,60455,0,19.15,
5,37160,0,11.77,
6,28435,0,9.01,
7,27352,0,8.67,
8+,8328,0,2.64,
