k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,18,18,0.01,0.5
1,1540,149,0.49,4.14
2,23564,963,7.47,26.74
3,102318,1514,32.42,42.03
4,98493,794,31.2,22.04
5,60352,134,19.12,3.72
6,24916,30,7.89,0.83
7,4296,0,1.36,0
8+,149,0,0.05,0
