k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,45,0,0.01,0
1,1122,593,0.36,1.49
2,24301,7681,7.7,19.32
3,93287,17282,29.55,43.46
4,90441,8786,28.65,22.09
5,40659,3726,12.88,9.37
6,25741,991,8.16,2.49
7,24256,580,7.68,1.46
8+,15794,128,5,0.32
