k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,80305,2039,25.44,65.46
1,152022,972,48.16,31.2
2,38583,69,12.22,2.22
3,19770,35,6.26,1.12
4,17044,0,5.4,0
5,6960,0,2.21,0
6,895,0,0.28,0
7,67,0,0.02,0
8+,0,0,0,0
