k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,39,0,0.01,0
1,9762,7,3.09,1.11
2,94943,263,30.08,41.61
3,90249,193,28.59,30.54
4,49019,117,15.53,18.51
5,24715,17,7.83,2.69
6,27912,35,8.84,5.54
7,17603,0,5.58,0
8+,1404,0,0.44,0
