duid,tech_label,yyyymm,gas_gj,diesel_gj,fuel_type,incr_hr,static_hr,vom_mwh,srmc_marginal,srmc_allin
QPS5,OCGT (Quarantine),202204,29.85,46.0526315789474,gas,8,10.71,8.1,246.9,327.7935
TORRB1,Gas-steam (Torrens B),202205,29.85,48.6842105263158,gas,9.94,10.71,2.5,299.209,322.1935
TORRB2,Gas-steam (Torrens B),202205,29.85,48.6842105263158,gas,9.94,10.71,2.5,299.209,322.1935
TORRB3,Gas-steam (Torrens B),202205,29.85,48.6842105263158,gas,9.94,10.71,2.5,299.209,322.1935
TORRB4,Gas-steam (Torrens B),202205,29.85,48.6842105263158,gas,9.94,10.71,2.5,299.209,322.1935
PPCCGT,CCGT (Pelican Pt),202205,29.85,48.6842105263158,gas,7.35,7.35,4.1,223.4975,223.4975
OSB-AG,Cogen (Osborne),202205,29.85,48.6842105263158,gas,8.16,8.16,4.1,247.676,247.676
MINTARO,OCGT (Mintaro),202205,29.85,48.6842105263158,gas,10,12.72,12,310.5,391.692
BARKIPS1,Recip. (Barker Inlet),202205,29.85,48.6842105263158,gas,7.9,7.9,8.51,244.325,244.325
DRYCGT1,OCGT (Dry Creek),202205,29.85,48.6842105263158,gas,10.97,13.69,8.1,335.5545,416.7465
DRYCGT2,OCGT (Dry Creek),202205,29.85,48.6842105263158,gas,10.97,13.69,8.1,335.5545,416.7465
DRYCGT3,OCGT (Dry Creek),202205,29.85,48.6842105263158,gas,10.97,13.69,8.1,335.5545,416.7465
QPS5,OCGT (Quarantine),202205,29.85,48.6842105263158,gas,8,10.71,8.1,246.9,327.7935
TORRB1,Gas-steam (Torrens B),202206,29.85,51.3157894736842,gas,9.94,10.71,2.5,299.209,322.1935
TORRB2,Gas-steam (Torrens B),202206,29.85,51.3157894736842,gas,9.94,10.71,2.5,299.209,322.1935
TORRB3,Gas-steam (Torrens B),202206,29.85,51.3157894736842,gas,9.94,10.71,2.5,299.209,322.1935
TORRB4,Gas-steam (Torrens B),202206,29.85,51.3157894736842,gas,9.94,10.71,2.5,299.209,322.1935
PPCCGT,CCGT (Pelican Pt),202206,29.85,51.3157894736842,gas,7.35,7.35,4.1,223.4975,223.4975
