k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,975,0,0.31,
1,153656,0,48.68,
2,67127,0,21.27,
3,36960,0,11.71,
4,24337,0,7.71,
5,15356,0,4.86,
6,11957,0,3.79,
7,4558,0,1.44,
8+,720,0,0.23,
