k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,152302,90022,48.25,69.08
1,75343,26494,23.87,20.33
2,47870,9361,15.17,7.18
3,11255,2150,3.57,1.65
4,24694,2012,7.82,1.54
5,3992,285,1.26,0.22
6,190,0,0.06,0
7,0,0,0,0
8+,0,0,0,0
