k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,39,0,0.01,0
1,7622,1399,2.41,25.6
2,80274,1587,25.43,29.04
3,93733,1494,29.7,27.34
4,56560,673,17.92,12.31
5,28182,200,8.93,3.66
6,28308,112,8.97,2.05
7,17387,0,5.51,0
8+,3541,0,1.12,0
