k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,38251,19839,12.12,49.89
1,123765,9951,39.21,25.02
2,61271,6627,19.41,16.66
3,36389,2153,11.53,5.41
4,23872,657,7.56,1.65
5,14937,426,4.73,1.07
6,11801,48,3.74,0.12
7,4548,66,1.44,0.17
8+,812,0,0.26,0
