k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,1708,182,0.54,28.04
1,154000,347,48.79,53.47
2,67096,84,21.26,12.94
3,37243,18,11.8,2.77
4,23439,7,7.43,1.08
5,15053,11,4.77,1.69
6,11852,0,3.75,0
7,4496,0,1.42,0
8+,759,0,0.24,0
