k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,4083,2591,1.29,1.99
1,44575,28253,14.12,21.68
2,83663,48214,26.51,37
3,74230,31590,23.52,24.24
4,40549,12496,12.85,9.59
5,37288,4617,11.81,3.54
6,24634,2130,7.8,1.63
7,6624,433,2.1,0.33
8+,0,0,0,0
