k,n_all,n_directed,pct_of_all(%),pct_of_directed(%)
0,267,68,0.08,2.18
1,9975,254,3.16,8.15
2,61158,733,19.38,23.53
3,93439,471,29.6,15.12
4,74546,1428,23.62,45.84
5,49102,143,15.56,4.59
6,22954,18,7.27,0.58
7,4066,0,1.29,0
8+,139,0,0.04,0
