term,estimate,std.error,statistic,p.value,sample,outcome,nobs
TOTALDEMAND,0.0001034064044948,3.2759664927399e-05,3.15651593885244,0.00496467316756241,(ii) include window at APC $300,b_2xSRMC,144358
nonsync_mw,-0.000168279807030882,3.2980969644467e-05,-5.10233049073235,5.4348151592537e-05,(ii) include window at APC $300,b_2xSRMC,144358
RRP,1.30219850860867e-05,7.83942101611623e-06,1.66109015695371,0.112291985157947,(ii) include window at APC $300,b_2xSRMC,144358
slope_kernel,-0.000927394843676916,0.00114766184303527,-0.808073257209804,0.428555809239232,(ii) include window at APC $300,b_2xSRMC,144358
saturatedTRUE,-0.0519268792049224,0.0186777403347891,-2.78014782699402,0.0115527929397525,(ii) include window at APC $300,b_2xSRMC,144358
essentialTRUE:comp_price_100,-0.0495516994456836,0.0200960929602304,-2.46573796925328,0.0228412723728079,(ii) include window at APC $300,b_2xSRMC,144358
essentialTRUE,0.0884633328857967,0.0500002456558183,1.76925796514567,0.0920985100580489,(iii) base minus pre-suspension June,a_fixed300,135269
srmc,0.0250224676349487,0.00535000713187729,4.67709051934824,0.000144923443314493,(iii) base minus pre-suspension June,a_fixed300,135269
TOTALDEMAND,0.000100141183731739,3.51707849193802e-05,2.84728316303679,0.00995692304259717,(iii) base minus pre-suspension June,a_fixed300,135269
nonsync_mw,-0.000139934171215381,2.06247071368736e-05,-6.78478342924934,1.34521442106258e-06,(iii) base minus pre-suspension June,a_fixed300,135269
RRP,1.84763865761943e-05,8.49825852341743e-06,2.17413797488998,0.0418732614784148,(iii) base minus pre-suspension June,a_fixed300,135269
slope_kernel,-0.000744884812523876,0.00111967100619442,-0.665271145187209,0.513476641381732,(iii) base minus pre-suspension June,a_fixed300,135269
saturatedTRUE,-0.0572235024829009,0.0231333599766893,-2.47363558689975,0.022460893470157,(iii) base minus pre-suspension June,a_fixed300,135269
essentialTRUE:comp_price_100,-0.0511644816575329,0.0163168239873079,-3.135688765003,0.00520553004597858,(iii) base minus pre-suspension June,a_fixed300,135269
essentialTRUE,0.102783643714611,0.0469304423197575,2.19012731681286,0.0405351962855461,(iii) base minus pre-suspension June,b_2xSRMC,135269
srmc,0.0338878794531573,0.0052395077963604,6.46776009698799,2.63033060924525e-06,(iii) base minus pre-suspension June,b_2xSRMC,135269
TOTALDEMAND,9.69728731316147e-05,3.39171810699323e-05,2.85910768738919,0.00969863599829585,(iii) base minus pre-suspension June,b_2xSRMC,135269
nonsync_mw,-0.000140655817792998,1.90714993021082e-05,-7.3751840673297,3.99898267779468e-07,(iii) base minus pre-suspension June,b_2xSRMC,135269
RRP,1.72209924506843e-05,8.33662209954849e-06,2.06570386003427,0.0520578249592069,(iii) base minus pre-suspension June,b_2xSRMC,135269
slope_kernel,-0.000648290842678365,0.00111244093610012,-0.582764281356883,0.56656524058572,(iii) base minus pre-suspension June,b_2xSRMC,135269
saturatedTRUE,-0.0516565962532865,0.0229949395906076,-2.24643322282899,0.0361280354375577,(iii) base minus pre-suspension June,b_2xSRMC,135269
essentialTRUE:comp_price_100,-0.0581619433634847,0.0156292389914405,-3.72135478863288,0.00134844723764148,(iii) base minus pre-suspension June,b_2xSRMC,135269
