yyyymm,essential_unit_rows,comp_price
202201,33,149
202202,282,134.4
202203,1017,121.2
202204,33,156.5
202205,72,252.6
202206,2350,241.4
202207,63,349.6
202208,237,378.4
202209,2277,365.3
202210,72,350.6
202211,396,346.3
202212,381,333.6
202303,342,329.4
202309,12,220.8
202310,1103,193
202311,360,186.8
202403,21,179.1
202406,36,177.8
202409,765,220
202410,1725,221.7
202411,936,223.4
