outcome,weights,estimate,wcb_se,wcb_t,wcb_p,R,df
a_fixed300,rademacher,-0.0512106335797424,0.0158069130388608,-3.23976183419513,0.00410572040641746,999,20
a_fixed300,webb,-0.0512106335797424,0.0157294649338281,-3.25571364284667,0.00395853285613373,999,20
b_2xSRMC,rademacher,-0.0553512210909815,0.0185535833168874,-2.98331703076468,0.00734648835446792,999,20
b_2xSRMC,webb,-0.0553512210909815,0.0180739024278676,-3.06249418529764,0.00614528778584984,999,20
