DUID,n_essential,n_essential_matched,essential_matched_pct,n_comparison_matched,strata_used
PPCCGT,267,267,100,3424,29
TORRB2,4083,4082,100,42807,301
TORRB3,4083,4082,100,42807,301
TORRB4,4083,4082,100,42807,301
