duid,term,estimate,std.error,statistic,p.value,nobs
TORRB2,dt:oppTRUE,0.000206359028100531,0.000266863979121878,0.773274193016084,0.449396609731508,57677
TORRB3,dt:oppTRUE,-0.000183988304345688,0.000271346106849508,-0.678057652943332,0.506358875027938,57677
TORRB4,dt:oppTRUE,0.000554276847019745,0.000290668066309948,1.90690657579393,0.072622610571357,57677
