duid,n_opp,n_opp_matched,n_comparison,strata,opp_matched_pct
OSB-AG,,18,1021,3,
PPCCGT,,267,5248,13,
TORRB2,,4083,57170,128,
TORRB3,,4083,57170,128,
TORRB4,,4083,57170,128,
