duid,n_opp,n_total,opp_rate_pct,nonsync_med_opp,depth_med_opp,short_share_opp,dt_med_opp,cheap_med_opp,asusual_share_opp,withheld_share_opp,directed_share_opp,testable
TORRB2,4083,315648,1.29,1136,0,0.1,,0,3.3,96.7,26.6,TEST
TORRB3,4083,315648,1.29,1136,0,0.1,,0,1.3,98.7,30.8,TEST
TORRB4,4083,315648,1.29,1136,0,0.1,,0,2.8,97.2,48.4,TEST
PPCCGT,267,315648,0.08,1043,0,0,,242,68.2,31.8,25.5,TEST
OSB-AG,18,315648,0.01,1935,0,0,328,145,100,0,100,DESCRIPTIVE_ONLY
