report_year,report_month,report_event,direction_start,direction_end,directed_mwh,compensation_payment,retained_trading_amount,additional_compensation,ie_fee,cra,source_file
2021,7,2021-07-31T05:30:00Z,2021-07-31T05:30:00Z,2021-08-04T07:00:00Z,6013.0571234,581787.248872705,48560.79614548,596180.01,2923.07692307692,1132329.5396503,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,8,2021-08-08T05:59:59Z,2021-08-08T05:59:59Z,2021-08-20T07:00:00Z,16457.0160585796,1618595.13835243,-156676.180080201,602637.41,3886.36363636364,2381795.092069,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,8,2021-08-20T07:00:00Z,2021-08-20T07:00:00Z,2021-08-28T07:00:00Z,12763.7005942828,1266068.34057521,-335203.577595469,574493.54,2590.90909090909,2178356.36726159,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,8,2021-08-28T05:59:59Z,2021-08-28T05:59:59Z,2021-09-04T07:00:00Z,22928.6180853,2293629.66108196,-897445.08786175,326894.800890741,3022.72727272727,3520992.27710718,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,9,2021-09-04T07:00:00Z,2021-09-04T07:00:00Z,2021-09-06T04:00:00Z,3029.1527923,303136.037638138,-17834.64734856,56925,526.315789473684,378422.000776172,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,9,2021-09-07T08:00:00Z,2021-09-07T08:00:00Z,2021-09-15T05:59:59Z,22822.424695,2292112.65192551,-719898.41609963,370766,1578.85015804689,3384355.91818319,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,9,2021-09-15T07:00:00Z,2021-09-15T07:00:00Z,2021-09-25T05:59:59Z,37649.0172115686,3806330.74582051,-533675.139784542,475699,3157.89473684211,4818862.78034189,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,9,2021-09-25T07:00:00Z,2021-09-25T07:00:00Z,2021-09-30T14:00:00Z,22992.3249271797,2340004.10710846,379230.436098698,198092,2631.57894736842,2161497.24995713,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,9,2021-09-27T07:00:00Z,2021-09-27T07:00:00Z,2021-10-05T07:00:00Z,25548.2031025,2595927.43596377,-329906.45005065,292855,2105.26315789474,3220794.14917231,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,10,2021-10-05T06:30:00Z,2021-10-05T06:30:00Z,2021-10-14T07:15:00Z,53271.2134854,5209803.94473812,-204148.98643748,0,0,5413952.9311756,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,10,2021-10-14T06:30:00Z,2021-10-14T06:30:00Z,2021-10-19T14:00:00Z,26146.4961175,2488190.58660679,-253331.31575147,1011490.64,2923.07692307692,3755935.61928134,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,10,2021-10-27T05:59:59Z,2021-10-27T05:59:59Z,2021-11-06T14:00:00Z,29332.6823105,2704536.08584817,156838.03267976,1037663.77,5115.38461538461,3590477.20778379,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,11,2021-11-05T05:00:00Z,2021-11-05T05:00:00Z,2021-11-13T14:00:00Z,22307.9808123,2039516.66522643,106673.83523368,593180.1,3022.72727272727,2529045.65726548,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,11,2021-11-09T04:45:00Z,2021-11-09T04:45:00Z,2021-11-20T07:29:59Z,17691.1170943,1613788.51159313,-228666.72635315,1137193.57,3022.72727272727,2982671.535219,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,11,2021-11-16T05:59:59Z,2021-11-16T05:59:59Z,2021-11-27T06:30:00Z,17715.3731588,1645024.20563361,564589.18340374,1285864.67,2159.09090909091,2368458.78313897,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,11,2021-11-24T06:44:59Z,2021-11-24T06:44:59Z,2021-11-29T06:30:00Z,4692.5102633,449393.459827837,116790.55323355,351339.72,1295.45454545455,685238.081139742,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,12,2021-12-01T05:59:59Z,2021-12-01T05:59:59Z,2021-12-11T05:00:00Z,16502.3291291,1596267.59223389,260559.68590619,1052269.93,3653.84615384615,2391631.68248155,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,12,2021-12-11T05:59:59Z,2021-12-11T05:59:59Z,2021-12-18T03:30:00Z,3369.8996813,334532.52329631,26065.21661366,233195.72,2923.07692307692,544586.103605727,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,12,2021-12-18T05:59:59Z,2021-12-18T05:59:59Z,2021-12-25T14:00:00Z,8189.5678603,845887.572594114,120923.1932069,677935.526153942,2192.30769230769,1405092.21323346,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,12,2021-12-24T05:59:59Z,2021-12-24T05:59:59Z,2021-12-29T22:00:00Z,7354.654175,759834.81594763,-23870.3554593699,623245.33,730.76923076923,1407681.27063777,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
