episode_id,duid,survivor,window_excess_mwh,seq_class,needed_to_complete,short_at_tau,short_n1_at_tau,piv_n1_at_tau,dir_unit_prior_7d,pre24_shortn1_share
337,OSB-AG,TRUE,-739.406668333333,signal then direction,FALSE,FALSE,TRUE,TRUE,0,0.809027777777778
524,PPCCGT,TRUE,0,signal then direction,FALSE,FALSE,TRUE,TRUE,0,0.885416666666667
525,PPCCGT,TRUE,-13.5,signal then direction,FALSE,FALSE,TRUE,TRUE,0,0.479166666666667
526,PPCCGT,FALSE,358.67112,signal then direction,FALSE,FALSE,TRUE,TRUE,0,0.909722222222222
532,PPCCGT,TRUE,-0.5,no exit signal ever,FALSE,FALSE,TRUE,TRUE,0,0.642361111111111
533,PPCCGT,FALSE,184.070294166667,signal then direction,FALSE,FALSE,FALSE,FALSE,0,0.559027777777778
536,PPCCGT,TRUE,0,signal then direction,FALSE,FALSE,TRUE,TRUE,1,0.444444444444444
812,TORRB2,FALSE,61.6666666666667,signal then direction,FALSE,FALSE,FALSE,FALSE,1,0.59375
817,TORRB2,TRUE,-445,signal then direction,FALSE,FALSE,TRUE,TRUE,5,0.795138888888889
818,TORRB2,FALSE,241.668109166667,signal then direction,FALSE,FALSE,FALSE,FALSE,0,0.173611111111111
820,TORRB2,FALSE,41.6666666666667,signal then direction,FALSE,FALSE,FALSE,FALSE,2,0.621527777777778
821,TORRB2,FALSE,51.6666666666667,signal then direction,FALSE,FALSE,FALSE,TRUE,3,0.40625
822,TORRB2,TRUE,-505,signal then direction,FALSE,FALSE,FALSE,TRUE,3,0.472222222222222
827,TORRB2,FALSE,1.66666666666667,signal then direction,FALSE,FALSE,FALSE,FALSE,1,0.784722222222222
829,TORRB2,TRUE,-583.333333333333,signal then direction,TRUE,FALSE,TRUE,TRUE,3,0.493055555555556
835,TORRB2,TRUE,-405,signal then direction,FALSE,FALSE,TRUE,TRUE,2,0.996527777777778
840,TORRB2,TRUE,-470,signal then direction,FALSE,FALSE,FALSE,FALSE,2,0.454861111111111
841,TORRB2,TRUE,-95,signal then direction,FALSE,FALSE,FALSE,FALSE,3,0.319444444444444
842,TORRB2,TRUE,-380,signal then direction,FALSE,FALSE,TRUE,TRUE,4,0.583333333333333
843,TORRB2,TRUE,-55,no exit signal ever,FALSE,FALSE,FALSE,FALSE,0,0
844,TORRB2,TRUE,-355,signal then direction,FALSE,FALSE,FALSE,TRUE,1,0.256944444444444
845,TORRB2,TRUE,-355,signal then direction,TRUE,FALSE,TRUE,TRUE,2,0.430555555555556
846,TORRB2,TRUE,-285,signal then direction,FALSE,FALSE,FALSE,FALSE,3,0.659722222222222
849,TORRB2,TRUE,-285,signal then direction,FALSE,FALSE,FALSE,FALSE,6,0.475694444444445
854,TORRB2,TRUE,-355,signal then direction,FALSE,FALSE,FALSE,TRUE,2,0.451388888888889
855,TORRB2,TRUE,-60,signal then direction,TRUE,FALSE,TRUE,TRUE,3,0.600694444444445
858,TORRB2,FALSE,30,signal then direction,FALSE,FALSE,FALSE,FALSE,2,0
860,TORRB2,TRUE,-235,signal then direction,FALSE,FALSE,FALSE,FALSE,0,0
872,TORRB2,FALSE,18.3333333333333,signal then direction,FALSE,FALSE,TRUE,TRUE,2,1
876,TORRB2,TRUE,-320,signal then direction,FALSE,FALSE,FALSE,TRUE,2,0.694444444444445
880,TORRB2,FALSE,70,signal then direction,FALSE,FALSE,TRUE,TRUE,4,0.996527777777778
881,TORRB2,FALSE,70,signal then direction,FALSE,FALSE,FALSE,FALSE,4,0.565972222222222
882,TORRB2,FALSE,60.8850791666667,signal then direction,TRUE,FALSE,FALSE,TRUE,5,0.260416666666667
1134,TORRB3,TRUE,-548.75,signal then direction,FALSE,FALSE,FALSE,TRUE,2,0.701388888888889
1138,TORRB3,FALSE,61.6666666666667,signal then direction,FALSE,FALSE,FALSE,TRUE,1,0.652777777777778
1139,TORRB3,FALSE,50,signal then direction,FALSE,FALSE,FALSE,FALSE,2,0.333333333333333
1143,TORRB3,FALSE,70,signal then direction,FALSE,FALSE,FALSE,TRUE,0,0.927083333333333
1154,TORRB3,TRUE,-435,signal then direction,FALSE,FALSE,TRUE,TRUE,4,0.736111111111111
1159,TORRB3,TRUE,0,no exit signal ever,TRUE,FALSE,FALSE,TRUE,0,0
1160,TORRB3,FALSE,172.822593333333,signal then direction,TRUE,FALSE,FALSE,TRUE,0,0
