term,estimate,std.error,statistic,p.value,nobs,outcome,wcb_p_rad,wcb_p_webb
essential_dayTRUE,-269.669765060616,1008.85301796939,-0.26730332393058,0.790804477861928,1431,wmean_price,0.792402248214148,0.78311467751101
essential_dayTRUE,-0.0208286426556305,0.0607909265153075,-0.342627491462657,0.733927958998979,1431,top2_share,0.737325723024493,0.725125815484293
essential_dayTRUE,-1437.30882786673,696.055848313091,-2.06493319659634,0.0463992095890235,1431,steep_iqr,0.046083285040633,0.0475329705976417
essential_dayTRUE,-444.549678457197,698.818009627054,-0.636145136978431,0.528820196362463,2765,composite,0.524378010592829,0.531060253591235
essential_dayTRUE,-0.0482130505887656,0.252718544899195,-0.190777651905193,0.849802133305633,2765,n_nontag,0.850897265665565,0.850440536494686
essential_dayTRUE,0.0432623133368994,0.105375465934853,0.410553945864835,0.68390226888629,2765,n_nontag_am,0.6801110449802,0.685557564379587
essential_dayTRUE,-0.0317655264691259,0.0894661518627275,-0.355056362744487,0.724678103860273,1491,ma_share,0.721257793860404,0.721330595193988
essential_dayTRUE,32.7371959154857,86.1562186533858,0.379974846008393,0.706260181303855,1043,q_2xsrmc (PPCCGT only),,
essential_dayTRUE,19.6744158899403,94.0788037076575,0.209126977752363,0.835561549216196,1043,q_shoulder (PPCCGT only),,
