episode_id,duid,window_hours,n_intervals_window,n_intervals_nobid_at_tau,nobid_day0,n_day0,nobid_day1plus,n_day1plus,excess_at_issue_mw,floor_first_interval,floor_task1,window_floor_mwh,window_output_mwh,window_excess_mwh,covered_excess_mwh,n_intervals_covered,window_excess_capped_mwh,window_excess_priceaware_mwh,share_intervals_excess_le0,mean_maxavail,survivor,survivor_covered
1134,TORRB3,11,132,0,0,96,0,36,-55.9774436090226,60,60,590,41.25,-548.75,-548.75,132,41.25,41.25,1,0,TRUE,TRUE
1138,TORRB3,8.49972222222222,101,0,0,78,0,23,-0.980392156862742,60,60,435,496.666666666667,61.6666666666667,61.6666666666667,101,496.666666666667,496.666666666667,0.584158415841584,0,FALSE,FALSE
1139,TORRB3,8.5,102,0,0,72,0,30,-2.33009708737864,60,60,440,490,50,50,102,490,490,0.588235294117647,0,FALSE,FALSE
1143,TORRB3,8,96,0,0,78,0,18,-0.206185567010309,60,60,410,480,70,70,96,480,480,0.5625,0,FALSE,FALSE
1154,TORRB3,8.49972222222222,101,0,0,78,0,23,-60,60,60,435,0,-435,-435,101,0,0,1,0,TRUE,TRUE
1159,TORRB3,2,24,0,0,24,0,0,0,60,60,120,120,0,0,24,0,0,1,200,TRUE,TRUE
1160,TORRB3,54.5,654,0,0,60,0,594,-6.20783035114503,60,60,2760,2932.82259333333,172.822593333333,172.822593333333,654,961.822593333333,961.822593333333,0.836391437308869,137.009174311927,FALSE,FALSE
1165,TORRB3,6,72,0,0,49,0,23,0,60,60,290,360,70,70,72,360,360,0.416666666666667,0,FALSE,FALSE
1166,TORRB3,9,108,0,0,72,0,36,-6.8071723853211,60,60,470,478.168184166667,8.16818416666667,8.16818416666667,108,478.168184166667,478.168184166667,0.722222222222222,0,FALSE,FALSE
1175,TORRB3,8,96,0,0,60,0,36,-60,60,60,410,0,-410,-410,96,0,0,1,0,TRUE,TRUE
1184,TORRB3,6.5,78,0,0,60,0,18,-60,60,60,320,0,-320,-320,78,0,0,1,0,TRUE,TRUE
1185,TORRB3,5.5,66,0,0,54,0,12,-60,60,60,260,0,-260,-260,66,0,0,1,0,TRUE,TRUE
1204,TORRB3,0.333055555555556,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,40,TRUE,TRUE
1205,TORRB3,4.5,54,0,0,54,0,0,0,0,0,0,0,0,0,54,0,0,1,0,TRUE,TRUE
1207,TORRB3,13.9997222222222,167,0,0,162,0,5,-28.2440476190476,40,40,746.666666666667,161.25,-585.416666666667,-585.416666666667,167,161.25,161.25,1,0,TRUE,TRUE
1209,TORRB3,11,132,0,0,78,0,54,-55.9699248120301,60,60,590,41.3333333333333,-548.666666666667,-548.666666666667,132,41.3333333333333,41.3333333333333,1,0,TRUE,TRUE
1217,TORRB3,8.5,102,0,0,72,0,30,-1.61067699029125,60,60,440,496.1750225,56.1750225,56.1750225,102,496.1750225,496.1750225,0.647058823529412,0,FALSE,FALSE
1420,TORRB4,10.8333333333333,130,0,0,78,0,52,-1.6793893129771,60,60,580,633.333333333333,53.3333333333333,53.3333333333333,130,633.333333333333,633.333333333333,0.676923076923077,0,FALSE,FALSE
1423,TORRB4,9.5,114,0,0,78,0,36,-1.44832991304347,60,60,500,554.370171666667,54.3701716666667,54.3701716666667,114,554.370171666667,554.370171666667,0.570175438596491,0,FALSE,FALSE
1428,TORRB4,8.5,102,0,0,72,0,30,-13.9805825242718,60,60,440,390,-50,-50,102,390,390,1,0,TRUE,TRUE
1431,TORRB4,4.99972222222222,59,0,0,54,0,5,-60,60,60,236.666666666667,0,-236.666666666667,-236.666666666667,59,0,0,1,0,TRUE,TRUE
1432,TORRB4,6.99972222222222,83,0,0,24,0,59,-40,40,40,346.666666666667,0,-346.666666666667,-346.666666666667,83,0,0,1,0,TRUE,TRUE
1433,TORRB4,58.0002777777778,697,0,0,85,0,612,-17.0731707317073,60,60,2975,2493.33333333333,-481.666666666667,-481.666666666667,697,2493.33333333333,2493.33333333333,0.93974175035868,0,TRUE,TRUE
1434,TORRB4,9.50027777777778,115,0,0,85,0,30,-0.996846347826093,60,60,505,565.446889166667,60.4468891666667,60.4468891666667,115,565.446889166667,565.446889166667,0.669565217391304,0,FALSE,FALSE
1436,TORRB4,8.50027777777778,103,0,0,85,0,18,-60,60,60,445,0,-445,-445,103,0,0,1,0,TRUE,TRUE
1444,TORRB4,6.5,78,0,0,60,0,18,0,60,60,320,390,70,70,78,70,70,0.461538461538462,200,FALSE,FALSE
1445,TORRB4,9.25,111,0,0,111,0,0,0,0,0,0,0,0,0,111,0,0,1,40,TRUE,TRUE
1446,TORRB4,12.5,150,0,0,150,0,0,-4.10770920529802,60,60,700,699.9779925,-0.0220075000000008,-0.0220075000000008,150,-0.0220075000000008,-388.355340833333,0.8,200,TRUE,TRUE
1450,TORRB4,7,84,0,0,84,0,0,-5.12941176470589,60,60,420,381.25,-38.75,-38.75,84,-38.75,-352.5,0.642857142857143,200,TRUE,TRUE
1452,TORRB4,5.41666666666667,65,0,0,65,0,0,-40,40,40,285,0,-285,-285,65,0,0,1,0,TRUE,TRUE
1461,TORRB4,4.5,54,0,0,49,0,5,-36.4444444444444,60,60,211.666666666667,106,-105.666666666667,-105.666666666667,54,106,106,0.87037037037037,0,TRUE,TRUE
1473,TORRB4,79,948,0,0,72,0,876,-17.1093015700738,60,60,4010,3388.6060675,-621.3939325,-621.3939325,948,3388.6060675,3388.6060675,0.939873417721519,0,TRUE,TRUE
1477,TORRB4,10,120,0,0,72,0,48,-13.3884297520661,60,60,250,466.666666666667,216.666666666667,216.666666666667,120,436.666666666667,436.666666666667,0.45,10,FALSE,FALSE
1485,TORRB4,8,96,0,0,60,0,36,-60,60,60,410,0,-410,-410,96,-410,-830,1,200,TRUE,TRUE
1486,TORRB4,14.5002777777778,175,0,0,139,0,36,-47.3428571428571,60,60,805,184.583333333333,-620.416666666667,-620.416666666667,175,-239.416666666667,-239.416666666667,1,91.8857142857143,TRUE,TRUE
1490,TORRB4,9.50027777777778,115,0,0,67,0,48,-60,60,60,505,0,-505,-505,115,0,0,1,0,TRUE,TRUE
