DUID,yr,n_days,A_events,A_events_essential,essential_days
OSB-AG,2022,365,284,0,0
OSB-AG,2023,365,332,1,1
OSB-AG,2024,366,321,0,0
PPCCGT,2022,365,260,1,2
PPCCGT,2023,365,280,3,3
PPCCGT,2024,366,292,1,1
TORRB2,2022,365,255,17,31
TORRB2,2023,365,317,3,7
TORRB2,2024,366,255,15,22
TORRB3,2022,365,201,17,31
TORRB3,2023,365,305,7,7
TORRB3,2024,366,196,17,22
TORRB4,2022,365,234,17,31
TORRB4,2023,365,302,5,7
TORRB4,2024,366,264,6,22
