grp,n,up_move_pct,down_move_pct,mean_d_low,mean_d_high,mean_d_wdr,low_p25,low_p75,high_p25,high_p75
quiet,1433,0,0.1,0.07,-0.02,-0.06,0,0,0,0
pre-direction,123,0.8,1.6,0.38,-0.06,-0.32,-3.2,2.8,0,0
