term,estimate,std.error,statistic,p.value,nobs,outcome,spec
essential_dayTRUE,-59.5881317542977,718.21385767965,-0.0829671150412085,0.934350388916942,2800,composite,clean days only
srmc,-88.7535963168852,28.0004552366282,-3.16971976229815,0.00316465597960845,2800,composite,clean days only
dem,-9.06667379410651,1.03128026768548,-8.79166806367296,2.20155738665789e-10,2800,composite,clean days only
ns,5.85540867757388,0.609380125448597,9.60879495907977,2.38351542474653e-11,2800,composite,clean days only
rrp,-3.0416585517309,1.1603202548094,-2.62139572167559,0.0128725422180343,2800,composite,clean days only
slope_mean,-75.0584223631836,76.1333088885421,-0.985881520965651,0.330957966737961,2800,composite,clean days only
sat_share,2007.31973545996,5942.36760643515,0.337797973536034,0.737533186608513,2800,composite,clean days only
essential_dayTRUE,-131.586943914337,659.529028843283,-0.199516530978358,0.843013355166953,4384,composite,full sample + contamination indicator
contam_anyTRUE,1289.45674999351,334.208281640498,3.85824296053966,0.000469499189413106,4384,composite,full sample + contamination indicator
srmc,-60.0519674089681,24.2773366166099,-2.47358136344669,0.0183748918908708,4384,composite,full sample + contamination indicator
dem,-8.36520728299213,0.77490232591841,-10.7951763766843,1.10292044801031e-12,4384,composite,full sample + contamination indicator
ns,5.38969813392902,0.512237728548658,10.5218687213842,2.202714607555e-12,4384,composite,full sample + contamination indicator
rrp,-2.82216587975522,0.944816694646409,-2.98699832014653,0.00511899240193605,4384,composite,full sample + contamination indicator
slope_mean,-11.9464842191127,60.8509820175798,-0.196323606012822,0.84549238984193,4384,composite,full sample + contamination indicator
sat_share,3304.1854629576,4465.03862383322,0.740012739267409,0.46422750948045,4384,composite,full sample + contamination indicator
essential_dayTRUE:contam_anyTRUE,273.752045215932,820.053070109649,0.33382235271594,0.740505513476327,4384,composite,full sample + contamination indicator
essential_dayTRUE,-0.0113919229775316,0.0236395836925663,-0.481900321329004,0.63287657350152,2800,rank,clean days only
srmc,-0.00250264486623079,0.000590170398626039,-4.24054624233465,0.000154821682668576,2800,rank,clean days only
dem,-0.00022825287346156,3.44572195009978e-05,-6.62423947048166,1.17338866457793e-07,2800,rank,clean days only
ns,0.000151744764421354,2.88684633743611e-05,5.25641986736718,7.38219918920343e-06,2800,rank,clean days only
rrp,-9.68732654896738e-05,5.20549714167691e-05,-1.86098009187393,0.0711641106688601,2800,rank,clean days only
slope_mean,-0.00502799082494089,0.00281160845391606,-1.78829695078552,0.0823880731687982,2800,rank,clean days only
sat_share,0.145756121622258,0.124802512610345,1.16789412787973,0.25074392826288,2800,rank,clean days only
essential_dayTRUE,-0.0142564356267567,0.0132385497200024,-1.07688802235009,0.288897242872968,4384,rank,full sample + contamination indicator
contam_anyTRUE,0.0106034261108818,0.0131453811804371,0.806627511620717,0.425328521268157,4384,rank,full sample + contamination indicator
srmc,-0.00221995500176623,0.000533000620536261,-4.16501391599262,0.000193180951800347,4384,rank,full sample + contamination indicator
dem,-0.000199177434630723,2.76633558640677e-05,-7.20004599620674,2.11230549376455e-08,4384,rank,full sample + contamination indicator
ns,0.000123893391202599,2.51546227619217e-05,4.92527327383122,2.01012931384751e-05,4384,rank,full sample + contamination indicator
rrp,-9.2347945735916e-05,3.59074332644682e-05,-2.57183366618682,0.0145207594979692,4384,rank,full sample + contamination indicator
slope_mean,-0.00260783634934751,0.00256709148932443,-1.01587199373007,0.316661738250164,4384,rank,full sample + contamination indicator
sat_share,0.208534354913377,0.109118905545732,1.91107447302961,0.0642125851621791,4384,rank,full sample + contamination indicator
essential_dayTRUE:contam_anyTRUE,-0.024180272857681,0.0194683048797216,-1.24203278133719,0.222482942264936,4384,rank,full sample + contamination indicator
essential_dayTRUE,-0.0146780143469236,0.0390968458454663,-0.375427071660453,0.709608592988593,2800,A_withdrawal,clean days only
srmc,-0.00511921868309572,0.0018549988329212,-2.75968835788112,0.0091431546468376,2800,A_withdrawal,clean days only
dem,-0.000545477952279422,6.49034181674375e-05,-8.40445646286611,6.50304485564015e-10,2800,A_withdrawal,clean days only
ns,0.000351636579622692,3.22306595857713e-05,10.9100025920018,8.27140029541014e-13,2800,A_withdrawal,clean days only
rrp,-0.000144164025660274,5.43117842819472e-05,-2.65437837416424,0.0118732585205406,2800,A_withdrawal,clean days only
slope_mean,-0.00352196769088664,0.00425051751588514,-0.828597383194931,0.41294731101534,2800,A_withdrawal,clean days only
sat_share,-0.279316167329122,0.214686694658119,-1.3010408855282,0.201744861015616,2800,A_withdrawal,clean days only
essential_dayTRUE,0.0229147703324931,0.0396039632159627,0.578597909697511,0.566565486459292,4384,A_withdrawal,full sample + contamination indicator
contam_anyTRUE,-0.172664313288879,0.0264689880202776,-6.52326840590215,1.58911898632448e-07,4384,A_withdrawal,full sample + contamination indicator
srmc,-0.00316104650061758,0.00176386631554187,-1.79211228921648,0.0817636667310068,4384,A_withdrawal,full sample + contamination indicator
dem,-0.000443345815270572,6.5231015475924e-05,-6.79654934138202,7.0045870731195e-08,4384,A_withdrawal,full sample + contamination indicator
ns,0.000235724781562775,3.64908015685108e-05,6.45984114983625,1.92327403986627e-07,4384,A_withdrawal,full sample + contamination indicator
rrp,-0.000157377948960867,5.06000320801339e-05,-3.11023417359958,0.0037060091487976,4384,A_withdrawal,full sample + contamination indicator
slope_mean,0.0159988776460023,0.00539604731651625,2.96492538103454,0.00542056169284342,4384,A_withdrawal,full sample + contamination indicator
sat_share,-0.341568244224875,0.242260053754098,-1.40992391825182,0.16738718660383,4384,A_withdrawal,full sample + contamination indicator
essential_dayTRUE:contam_anyTRUE,-0.259061822445297,0.0862603144400982,-3.00325618016612,0.00490706034238694,4384,A_withdrawal,full sample + contamination indicator
essential_dayTRUE,2413.59583603225,1762.04828141183,1.36976714060206,0.180925622853532,669,B_pricing,clean days only
srmc,-20.8658114022671,17.384186924591,-1.20027537052948,0.239425016924057,669,B_pricing,clean days only
dem,-0.35501321321108,1.07991493618767,-0.328741830781924,0.744634702964162,669,B_pricing,clean days only
ns,0.260733474411267,0.455489019563187,0.572425378467542,0.571299145906775,669,B_pricing,clean days only
rrp,-1.09681223225407,1.09948945791579,-0.997565028347978,0.326469040665603,669,B_pricing,clean days only
slope_mean,296.295875836186,109.569575806526,2.70418018555968,0.0111714405518271,669,B_pricing,clean days only
sat_share,18535.0305411237,13973.2471330901,1.32646552119091,0.194695436211128,669,B_pricing,clean days only
