outcome,weights,estimate,wcb_se,wcb_t,wcb_p,df
composite,rademacher,84.6181218370499,347.867035023282,0.243248463687819,0.809232973671118,35
composite,webb,84.6181218370499,348.401202757749,0.242875515834217,0.809519590841499,35
rank,rademacher,-0.0268275978004256,0.010152254658221,-2.64252608938461,0.0122237913200901,35
rank,webb,-0.0268275978004256,0.0103707877757057,-2.58684281084906,0.0140021905555363,35
A_withdrawal,rademacher,-0.126775274020153,0.0322614633477239,-3.92961945506718,0.000382511944116386,35
A_withdrawal,webb,-0.126775274020153,0.0332191411123518,-3.81633208370382,0.000529246019236094,35
B_pricing,rademacher,1982.74100086676,814.149133900121,2.43535357136424,0.0201118381240365,35
B_pricing,webb,1982.74100086676,806.652749159494,2.45798579739884,0.0190662729128654,35
