group,n_windows,pct_material,n_material,cheap_mean,cheap_up_pct,cheap_p25,cheap_p75,avail_mean,avail_up_pct,avail_p25,avail_p75,absent_mean_h,deeper_pct
pre-direction (D-3 -> D-1),123,69.1,85,-1.4,45.9,-49.9,54.2,-1.2,36.5,-48.8,88.7,-0.38,43.5
quiet 48h,1433,36.3,520,0.1,50.8,-84.5,86.2,0,45.8,-92.2,100,-0.12,38.3
