yyyymm,ess_days,comp_price
202203,16,121.2
202205,3,252.6
202206,16,241.4
202207,3,349.6
202208,9,378.4
202209,9,365.3
202210,3,350.6
202211,6,346.3
202212,9,333.6
202310,8,193
202311,6,186.8
202403,1,179.1
202406,3,177.8
202409,9,220
202410,27,221.7
202411,12,223.4
