DUID,cal_day,hh,ma,ma0,grp,drop,case,pre,before_bin
TORRB4,2023-05-30,21,100,200,D-1,100,1 trim headroom,pre-direction,ample (>=100)
TORRB4,2023-05-30,22,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2023-05-30,23,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2023-06-02,19,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2023-06-02,20,0,100,D-2,100,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2023-07-26,20,100,200,D-1,100,1 trim headroom,pre-direction,ample (>=100)
TORRB4,2023-07-26,21,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2023-07-26,22,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2023-07-26,23,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2023-08-09,19,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB4,2023-08-09,20,0,100,quiet,100,2 floor-crossing,quiet,ample (>=100)
TORRB4,2024-02-21,20,100,200,D-2,100,1 trim headroom,pre-direction,ample (>=100)
TORRB4,2024-02-21,21,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-02-21,22,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-02-21,23,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-03-01,19,0,195,D-1,195,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-03-01,20,0,195,D-1,195,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-03-01,21,0,195,D-1,195,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-03-01,22,0,195,D-1,195,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-03-01,23,0,195,D-1,195,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-05-28,19,0,100,quiet,100,2 floor-crossing,quiet,ample (>=100)
TORRB4,2024-06-09,19,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-06-09,20,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-06-09,21,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-06-09,22,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-06-09,23,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-07-04,19,100,200,D-2,100,1 trim headroom,pre-direction,ample (>=100)
TORRB4,2024-07-04,20,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-07-04,21,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-07-04,22,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-07-04,23,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-07-18,20,100,200,D-2,100,1 trim headroom,pre-direction,ample (>=100)
TORRB4,2024-07-18,21,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-07-18,22,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB4,2024-07-18,23,0,200,D-2,200,2 floor-crossing,pre-direction,ample (>=100)
