term,estimate,std.error,statistic,p.value,nobs,outcome,model,row
essential_dayTRUE,361.046726388109,354.913513811334,1.01728086516321,0.31600068844814,3288,composite,M3,Torrens only
essential_dayTRUE,-0.0182059429724036,0.00860292962578733,-2.11624920397247,0.0415085741746337,3288,rank,M3,Torrens only
essential_dayTRUE,-0.096854182214203,0.0271691702595211,-3.56485609567932,0.00107619154929589,3288,A_withdrawal,M3,Torrens only
essential_dayTRUE,1635.9477424199,806.036000766909,2.02962118424409,0.0500520133240041,959,B_pricing,M3,Torrens only
essential_dayTRUE,-134.147680208452,318.720797959538,-0.420894027208989,0.676481182083141,4264,composite,M3,drop June 2022
essential_dayTRUE,-0.0254204835800564,0.0101652340919611,-2.50072780912734,0.0173763917072066,4264,rank,M3,drop June 2022
essential_dayTRUE,-0.140029292666884,0.03302562944421,-4.24001888907023,0.000161914787598515,4264,A_withdrawal,M3,drop June 2022
essential_dayTRUE,1650.39694025573,839.19666426799,1.96663906153075,0.0574303485736934,1155,B_pricing,M3,drop June 2022
