cal_day,hh,ess_iv,ess_hour,exp_price
2022-03-29,0,0,FALSE,81.6151391666667
2022-03-29,1,0,FALSE,81.9211016666667
2022-03-29,2,0,FALSE,83.473805
2022-03-29,3,0,FALSE,67.2211683333334
2022-03-29,4,0,FALSE,96.3258375
2022-03-29,5,0,FALSE,126.511415
2022-03-29,6,0,FALSE,205.649926666667
2022-03-29,7,6,TRUE,141.146019166667
2022-03-29,8,12,TRUE,135.723113333333
2022-03-29,9,12,TRUE,121.07557
2022-03-29,10,0,FALSE,98.7266391666667
2022-03-29,11,0,FALSE,78.0009175
2022-03-29,12,0,FALSE,36.1363925
2022-03-29,13,0,FALSE,24.5060783333333
2022-03-29,14,0,FALSE,33.2633116666667
2022-03-29,15,0,FALSE,83.5700658333334
2022-03-29,16,0,FALSE,50.6881175
2022-03-29,17,0,FALSE,137.859010833333
2022-03-29,18,0,FALSE,127.381929166667
2022-03-29,19,0,FALSE,115.697536666667
2022-03-29,20,0,FALSE,119.293728333333
2022-03-29,21,0,FALSE,124.872791666667
2022-03-29,22,0,FALSE,123.039406666667
2022-03-29,23,0,FALSE,123.984313333333
2022-06-15,0,0,FALSE,276.8177075
2022-06-15,1,0,FALSE,268.122454166667
2022-06-15,2,0,FALSE,266.0994325
2022-06-15,3,0,FALSE,149.3886775
2022-06-15,4,0,FALSE,67.1956025
2022-06-15,5,0,FALSE,155.93399
2022-06-15,6,0,FALSE,183.050620833333
2022-06-15,7,0,FALSE,245.866904166667
2022-06-15,8,0,FALSE,267.7964975
2022-06-15,9,0,FALSE,276.181195833333
2022-06-15,10,0,FALSE,246.059855833333
2022-06-15,11,0,FALSE,7.57589833333334
2022-06-15,12,0,FALSE,-43.366675
2022-06-15,13,0,FALSE,-63.735
2022-06-15,14,6,TRUE,-40.1859916666667
2022-06-15,15,7,TRUE,-72.9736183333334
2022-06-15,16,0,FALSE,159.81595
2022-06-15,17,0,FALSE,263.8926875
2022-06-15,18,0,FALSE,247.652705
2022-06-15,19,0,FALSE,153.7215725
2022-06-15,20,0,FALSE,98.7407375
2022-06-15,21,3,FALSE,154.45217
2022-06-15,22,12,TRUE,262.553575
2022-06-15,23,0,FALSE,213.5565975
2023-10-26,0,0,FALSE,39.8578283333333
2023-10-26,1,0,FALSE,33.3511566666667
2023-10-26,2,0,FALSE,27.5858908333333
2023-10-26,3,0,FALSE,34.6158408333333
2023-10-26,4,0,FALSE,35.2163708333333
2023-10-26,5,0,FALSE,48.9203275
2023-10-26,6,0,FALSE,27.1394383333333
2023-10-26,7,0,FALSE,-32.0216675
2023-10-26,8,0,FALSE,-51.3305825
2023-10-26,9,0,FALSE,-50.9198416666667
2023-10-26,10,0,FALSE,-51.2362458333333
2023-10-26,11,0,FALSE,-56.5033233333333
2023-10-26,12,0,FALSE,-64.5298725
2023-10-26,13,0,FALSE,-66.4534566666667
2023-10-26,14,0,FALSE,-55.6825
2023-10-26,15,0,FALSE,-56.3105741666667
2023-10-26,16,0,FALSE,-32.37465
2023-10-26,17,0,FALSE,-12.7452725
2023-10-26,18,0,FALSE,24.4893691666667
2023-10-26,19,0,FALSE,78.6303608333333
2023-10-26,20,0,FALSE,66.4014791666667
2023-10-26,21,12,TRUE,53.9034358333333
2023-10-26,22,12,TRUE,45.0909716666667
2023-10-26,23,12,TRUE,50.1650691666667
2023-10-27,0,12,TRUE,50.1996075
2023-10-27,1,12,TRUE,49.3633566666667
2023-10-27,2,12,TRUE,42.0198075
2023-10-27,3,12,TRUE,43.8378116666667
2023-10-27,4,12,TRUE,49.0930966666667
2023-10-27,5,12,TRUE,64.8571458333333
2023-10-27,6,6,TRUE,44.1523275
2023-10-27,7,0,FALSE,24.3581775
2023-10-27,8,0,FALSE,-37.5550358333333
2023-10-27,9,0,FALSE,-11.3422141666667
2023-10-27,10,0,FALSE,-43.7157916666667
2023-10-27,11,0,FALSE,-41.4406008333333
2023-10-27,12,0,FALSE,-51.6702066666667
2023-10-27,13,0,FALSE,-49.5126166666667
2023-10-27,14,0,FALSE,-53.2152658333333
2023-10-27,15,0,FALSE,-50.7993816666667
2023-10-27,16,0,FALSE,-42.7582541666667
2023-10-27,17,0,FALSE,17.3842158333333
2023-10-27,18,0,FALSE,64.8311358333333
2023-10-27,19,3,FALSE,71.1241125
2023-10-27,20,11,TRUE,55.687795
2023-10-27,21,12,TRUE,39.9901833333333
2023-10-27,22,12,TRUE,14.0163333333333
2023-10-27,23,12,TRUE,47.3897608333333
