DUID,cal_day,dir,gas_gj,exp_loss_wk,essential_pm3,directions_prior7d,contam_day
TORRB4,2024-09-24,EXIT absent state,12.78,-118.6,0,4,continuation-active
TORRB4,2024-09-25,ENTER absent state,12.78,-121.4,0,2,issued-pending
TORRB4,2024-09-30,EXIT absent state,12.78,113.4,2,3,continuation-active
TORRB4,2024-10-01,ENTER absent state,13.55,119.4,3,2,boundary
TORRB2,2024-11-22,EXIT absent state,13.55,59.8,0,3,boundary
TORRB2,2024-11-26,ENTER absent state,13.55,30.1,1,1,clean
TORRB2,2024-11-29,EXIT absent state,13.55,46,1,2,boundary
TORRB3,2024-11-22,EXIT absent state,13.55,59.8,0,2,boundary
TORRB3,2024-11-26,ENTER absent state,13.55,30.1,1,0,clean
TORRB3,2024-11-29,EXIT absent state,13.55,46,1,2,boundary
TORRB2,2024-12-07,ENTER absent state,13.55,24,0,0,issued-pending
TORRB2,2024-12-09,EXIT absent state,13.55,27.7,0,1,continuation-active
TORRB2,2024-12-16,ENTER absent state,13.55,50.1,0,0,clean
TORRB3,2024-12-04,ENTER absent state,13.55,18.2,0,1,clean
TORRB3,2024-12-05,EXIT absent state,13.55,26.1,0,1,clean
TORRB3,2024-12-12,ENTER absent state,13.55,52.4,0,0,clean
TORRB3,2024-12-16,EXIT absent state,13.55,50.1,0,0,clean
TORRB3,2024-12-17,ENTER absent state,13.55,57.5,0,0,issued-pending
TORRB3,2024-12-19,EXIT absent state,13.55,85.4,0,1,continuation-active
TORRB3,2024-12-20,ENTER absent state,13.55,112.7,0,1,continuation-active
TORRB4,2024-12-13,EXIT absent state,13.55,29.9,0,1,boundary
TORRB4,2024-12-16,ENTER absent state,13.55,50.1,0,1,clean
