duid,n_episodes,directed_output_mean,directed_output_median,observed_floor_p5,declared_minload_median,floor_block_median,excess_median,excess_p25,excess_p75,pct_within_10MW_of_minload
TORRB2,197,39.7,40,40,,40,0,-1.1,0.2,
TORRB3,260,39.6,40,40,,40,0,-1.2,0.2,
TORRB4,226,39.2,40,40,,40,0,-1.5,0.2,
PPCCGT,29,136.7,167,165,,0,166.3,125,169.3,
OSB-AG,28,138.6,145,145,,143,0.1,-0.6,4,
