DUID,yr,hh,mw_le300,avail
TORRB3,2023,3,14.5,39.7
TORRB3,2023,4,12,36.1
TORRB3,2023,5,9.7,33.9
TORRB3,2023,6,7.9,33.8
TORRB3,2023,7,7,33.7
TORRB3,2023,8,6.9,33.7
TORRB3,2023,9,7.2,34
TORRB3,2023,10,8.8,36.8
TORRB3,2023,11,10.5,38.8
TORRB3,2023,12,14.8,39.9
TORRB3,2023,13,18.7,39.7
TORRB3,2023,14,23.2,39.4
TORRB3,2023,15,22.9,38.8
TORRB3,2023,16,21.7,38.3
TORRB3,2023,17,16.9,35.9
TORRB3,2023,18,13.8,32.9
TORRB3,2023,19,11.7,29
TORRB3,2023,20,9.7,25
TORRB3,2023,21,7.6,22.4
TORRB3,2023,22,6.6,21.8
TORRB3,2023,23,6.4,21.5
TORRB4,2023,0,12.4,43.9
TORRB4,2023,1,15.1,44.1
TORRB4,2023,2,15.3,43.7
TORRB4,2023,3,17.4,41.4
TORRB4,2023,4,15.7,38.2
TORRB4,2023,5,13.5,37.8
TORRB4,2023,6,9.7,38.1
TORRB4,2023,7,9,38.1
TORRB4,2023,8,8.8,38.6
TORRB4,2023,9,9.4,39.6
TORRB4,2023,10,10.3,42.1
TORRB4,2023,11,13.1,44.1
TORRB4,2023,12,20.2,44.8
TORRB4,2023,13,24.2,44.3
TORRB4,2023,14,27.5,44.4
TORRB4,2023,15,27.8,44.1
TORRB4,2023,16,27.1,44
TORRB4,2023,17,22.9,42.4
TORRB4,2023,18,18.6,38.8
TORRB4,2023,19,16,37.8
TORRB4,2023,20,14.2,35
TORRB4,2023,21,11.1,29.5
TORRB4,2023,22,8.5,27.3
TORRB4,2023,23,8.1,27.3
PPCCGT,2024,0,197.1,217.5
PPCCGT,2024,1,201.6,217.1
PPCCGT,2024,2,202.9,215.8
PPCCGT,2024,3,182.9,194.2
PPCCGT,2024,4,141.8,151.5
PPCCGT,2024,5,95.2,103.1
PPCCGT,2024,6,67.8,72.2
PPCCGT,2024,7,61.6,65.6
PPCCGT,2024,8,63.3,68.3
PPCCGT,2024,9,65.8,71.2
PPCCGT,2024,10,72.4,77.3
PPCCGT,2024,11,95.1,100.2
PPCCGT,2024,12,167,175.7
PPCCGT,2024,13,233.6,241.4
PPCCGT,2024,14,264.2,271.5
PPCCGT,2024,15,274.8,281.3
PPCCGT,2024,16,277.1,283.9
PPCCGT,2024,17,276.4,284.2
PPCCGT,2024,18,271.1,279.9
PPCCGT,2024,19,263.8,272.8
PPCCGT,2024,20,229.7,244.3
PPCCGT,2024,21,198.9,215.6
PPCCGT,2024,22,187.5,206.3
PPCCGT,2024,23,185.9,206.2
TORRB2,2024,0,23.8,57.2
TORRB2,2024,1,27.7,57.5
TORRB2,2024,2,30.2,57.5
TORRB2,2024,3,31.3,56.5
TORRB2,2024,4,26.7,54.2
TORRB2,2024,5,19.5,53.2
TORRB2,2024,6,17,52.7
TORRB2,2024,7,14.6,53
TORRB2,2024,8,13.8,53.7
TORRB2,2024,9,14.8,54.8
TORRB2,2024,10,18,58.1
TORRB2,2024,11,24.3,60.2
TORRB2,2024,12,35.4,61.4
TORRB2,2024,13,45.8,62.4
TORRB2,2024,14,50.1,63
TORRB2,2024,15,49.9,63
TORRB2,2024,16,46.8,63
TORRB2,2024,17,41.6,61.3
TORRB2,2024,18,35.5,58.7
TORRB2,2024,19,31,54.6
TORRB2,2024,20,28.7,51.6
TORRB2,2024,21,24.1,47.8
TORRB2,2024,22,20.1,47.5
TORRB2,2024,23,18.9,47.5
TORRB3,2024,0,29.7,74.4
TORRB3,2024,1,33.2,74.5
TORRB3,2024,2,36.7,74.8
TORRB3,2024,3,37.3,74.2
TORRB3,2024,4,30.8,68.5
TORRB3,2024,5,24.3,65.7
TORRB3,2024,6,21.1,66.1
TORRB3,2024,7,18.6,66.1
TORRB3,2024,8,17.6,66.1
TORRB3,2024,9,19.2,67.2
TORRB3,2024,10,22.2,70.5
TORRB3,2024,11,28.8,74.7
TORRB3,2024,12,41.5,77.8
TORRB3,2024,13,54,78.8
TORRB3,2024,14,59.7,78
TORRB3,2024,15,59.3,77.7
TORRB3,2024,16,57.5,77.7
TORRB3,2024,17,51.9,76.9
TORRB3,2024,18,42.2,73.5
TORRB3,2024,19,36.9,68.5
TORRB3,2024,20,34.4,65.5
TORRB3,2024,21,28.8,62.6
TORRB3,2024,22,23,60.5
TORRB3,2024,23,21.2,60
TORRB4,2024,0,15.9,45.9
TORRB4,2024,1,17.8,46.6
TORRB4,2024,2,21.3,46.8
TORRB4,2024,3,22.8,45.4
TORRB4,2024,4,21.1,44.3
TORRB4,2024,5,17.6,43.6
TORRB4,2024,6,15.5,42.4
TORRB4,2024,7,12.6,42.7
TORRB4,2024,8,11.9,43.3
TORRB4,2024,9,12.5,44.4
TORRB4,2024,10,14.7,47.7
TORRB4,2024,11,19,50.6
TORRB4,2024,12,26.9,53.1
TORRB4,2024,13,36.2,53.3
TORRB4,2024,14,42.4,53.4
TORRB4,2024,15,42.8,53.4
TORRB4,2024,16,41.1,53.4
TORRB4,2024,17,36.4,52
TORRB4,2024,18,29,48.8
TORRB4,2024,19,22.9,45
TORRB4,2024,20,20.2,42.3
TORRB4,2024,21,16.4,38.6
TORRB4,2024,22,13.3,38
TORRB4,2024,23,12.3,38
