term,estimate,std.error,statistic,p.value,nobs,sample,outcome,loss
exp_loss,2.53991450525834,13.8183246917612,0.183807701867991,0.856799964669767,172,(ii) suspension days at APC $300,B_pricing,with loss control
essential_dayTRUE:comp_price_100,249.07191441094,1417.95101157082,0.175656219699025,0.863079386885636,172,(ii) suspension days at APC $300,B_pricing,with loss control
essential_dayTRUE:exp_loss,9.70276489397023,19.3993092821797,0.500160328021742,0.624731881137455,172,(ii) suspension days at APC $300,B_pricing,with loss control
essential_dayTRUE,-1809.08171723911,1208.51900532374,-1.4969410570043,0.155153017529462,433,(iii) base minus pre-suspension June,composite,no loss control
srmc,-3875.84954906221,315.904692972689,-12.269047074262,3.19075309183273e-09,433,(iii) base minus pre-suspension June,composite,no loss control
dem,-3.55105189324819,2.56665463324978,-1.38353319813504,0.186746618594482,433,(iii) base minus pre-suspension June,composite,no loss control
ns,1.34994117782808,1.48071848265702,0.911679832216128,0.376356612873514,433,(iii) base minus pre-suspension June,composite,no loss control
rrp,-4.01947013361048,4.62580391171341,-0.868923588272391,0.398579285048704,433,(iii) base minus pre-suspension June,composite,no loss control
slope_mean,-341.245079596424,210.457712326002,-1.62144250179737,0.125749053178174,433,(iii) base minus pre-suspension June,composite,no loss control
sat_share,16264.8352500073,9758.85395596914,1.66667472670382,0.116317511215362,433,(iii) base minus pre-suspension June,composite,no loss control
essential_dayTRUE:comp_price_100,799.603869565066,490.37348736526,1.63060175594174,0.123787800606286,433,(iii) base minus pre-suspension June,composite,no loss control
essential_dayTRUE,-1644.02134378496,1183.98726749885,-1.38854647251226,0.185246487913844,433,(iii) base minus pre-suspension June,composite,with loss control
srmc,-3790.2641340244,353.770996186702,-10.7138916838284,2.00209791781735e-08,433,(iii) base minus pre-suspension June,composite,with loss control
dem,-3.35709897835905,2.51127010238725,-1.33681318276666,0.201206439380424,433,(iii) base minus pre-suspension June,composite,with loss control
ns,1.7447501268983,1.18345267457094,1.4742880424271,0.161081220244491,433,(iii) base minus pre-suspension June,composite,with loss control
rrp,-1.07723205880693,2.25950784113697,-0.476755176147067,0.640407500613732,433,(iii) base minus pre-suspension June,composite,with loss control
slope_mean,-331.838285316787,208.265155388846,-1.59334519832289,0.131932607252564,433,(iii) base minus pre-suspension June,composite,with loss control
sat_share,15615.7285055204,9676.00708921729,1.61386079624954,0.127392630534383,433,(iii) base minus pre-suspension June,composite,with loss control
exp_loss,5.80407139455482,6.6379120293817,0.87438209016088,0.395694524924059,433,(iii) base minus pre-suspension June,composite,with loss control
essential_dayTRUE:comp_price_100,773.691899071459,633.067760632324,1.22213125858546,0.240515990011373,433,(iii) base minus pre-suspension June,composite,with loss control
essential_dayTRUE:exp_loss,-1.29365259946388,8.98107909780367,-0.144042000451844,0.887384698500655,433,(iii) base minus pre-suspension June,composite,with loss control
essential_dayTRUE,-0.0500570735650312,0.0375627841859682,-1.33262415579222,0.202545837974552,433,(iii) base minus pre-suspension June,rank,no loss control
srmc,-0.0688094537786737,0.0130893728687655,-5.25689461737851,9.66615788876502e-05,433,(iii) base minus pre-suspension June,rank,no loss control
dem,-2.13557162267111e-05,4.3751075292776e-05,-0.488118659571262,0.632523957132825,433,(iii) base minus pre-suspension June,rank,no loss control
ns,-1.10451772317705e-05,5.01186913722e-05,-0.220380399594732,0.828546303268457,433,(iii) base minus pre-suspension June,rank,no loss control
rrp,-6.64930996804937e-05,8.60400272160613e-05,-0.772815883862032,0.451637958728884,433,(iii) base minus pre-suspension June,rank,no loss control
slope_mean,-0.0089431713190026,0.0100715162091686,-0.887966730457249,0.388575727073449,433,(iii) base minus pre-suspension June,rank,no loss control
sat_share,0.565835321315925,0.434292214169119,1.30289077919224,0.212259450098767,433,(iii) base minus pre-suspension June,rank,no loss control
essential_dayTRUE:comp_price_100,0.0153905996608985,0.0127629890734344,1.2058773671548,0.24654222047326,433,(iii) base minus pre-suspension June,rank,no loss control
