qdate,directed_gwh,cost_m,comp_m,src,cost_per_mwh,pct_time_directed
2021-01-01,246.658325948101,21.2649217983342,16.6847461010822,costs (event-level),86.212057576392,0.693055812757202
2021-04-01,97.0809806262664,8.24048740204609,6.66356825515088,costs (event-level),84.8826139670919,0.302579237891738
2021-07-01,221.267515741496,29.5926568887735,21.7346337488105,costs (event-level),133.741533589351,0.512493332326892
2021-10-01,221.610006122084,28.9703426415066,21.2145874232539,costs (event-level),130.726690317164,0.85684669384058
2022-01-01,61.0489003225356,10.0202760463624,6.85024583491631,costs (event-level),164.135242296305,0.456134516460905
2022-04-01,23.2088377252644,6.22825784915674,3.93617251202195,costs (event-level),268.357163029188,0.186660307285307
2022-07-01,31.8661710306487,13.2583134562459,11.1232291068378,costs (event-level),416.06233279468,0.29449703099839
2022-10-01,76.4808767052338,26.890538411212,26.6754411542634,costs (event-level),351.598197741002,0.553252818035427
2023-01-01,73.3217296353591,25.7429413287754,25.5821104076016,costs (event-level),351.095663683866,0.497453575102881
2023-04-01,60.5562086317585,23.1558805587365,20.4135820739645,costs (event-level),382.386564184477,0.360271291208791
2023-07-01,54.0433846392066,19.0048315539755,12.917576413921,costs (event-level),351.65879562969,0.393306033615137
2023-10-01,95.5500294827458,28.0025205448446,18.0452300064,costs (event-level) + events (per-DUID),293.066581940734,0.651419207930757
2024-01-01,93.3920967523477,24.7027167694472,16.68574846313,events (per-DUID),264.505430635663,0.622031059218559
2024-04-01,30.7865324923,8.57234892185593,5.49063476765701,events (per-DUID),278.444768796225,0.219971255596256
2024-07-01,77.8561721654,18.1972535276871,17.1328325369974,events (per-DUID),233.729106139823,0.525475543478261
2024-10-01,95.5875981033732,23.2094746817867,21.3159575096421,events (per-DUID),242.808430615516,0.651533313204509
