qdate,directed_gwh,pct_time_directed,q_hours,avg_mw
2021-01-01,246.658325948101,0.693055812757202,2160,164.768359659401
2021-04-01,97.0809806262664,0.302579237891738,2184,146.906968121701
2021-07-01,221.267515741496,0.512493332326892,2208,195.537640942116
2021-10-01,221.610006122084,0.85684669384058,2208,117.135132013993
2022-01-01,61.0489003225356,0.456134516460905,2160,61.9628174562275
2022-04-01,23.2088377252644,0.186660307285307,2184,56.9309959613953
2022-07-01,31.8661710306487,0.29449703099839,2208,49.0060719050276
2022-10-01,76.4808767052338,0.553252818035427,2208,62.6080466086882
2023-01-01,73.3217296353591,0.497453575102881,2160,68.2380163707432
2023-04-01,60.5562086317585,0.360271291208791,2184,76.9620073290802
2023-07-01,54.0433846392066,0.393306033615137,2208,62.2318715895967
2023-10-01,95.5500294827458,0.651419207930757,2208,66.4310621295525
2024-01-01,93.3920967523477,0.622031059218559,2184,68.7456814715184
2024-04-01,30.7865324923,0.219971255596256,2184,64.0829076649116
2024-07-01,77.8561721654,0.525475543478261,2208,67.1029279598362
2024-10-01,95.5875981033732,0.651533313204509,2208,66.4455428001701
