yyyymm,dt_recon,window_complete,dt_real,dt
202101,,,69.668464360049,69.668464360049
202102,,,66.5809270690782,66.5809270690782
202103,,,65.5545115902887,65.5545115902887
202104,,,66.1663679966617,66.1663679966617
202105,,,70.2988890228689,70.2988890228689
202106,,,74.63834119309,74.63834119309
202107,,,93.2653064495016,93.2653064495016
202108,,,99.0344482839083,99.0344482839083
202109,,,101.190622713811,101.190622713811
202110,,,95.6551092291861,95.6551092291861
202111,,,92.1006387411615,92.1006387411615
202112,,,99.8553615516029,99.8553615516029
202201,148.99,FALSE,108.69232603678,108.69232603678
202202,134.38039,FALSE,113.250240427863,113.250240427863
202203,121.1744,FALSE,116.443768786328,116.443768786328
202204,156.547398,FALSE,136.643649586609,136.643649586609
202205,252.61979,FALSE,217.140372920315,217.140372920315
202206,,,164.375166508689,164.375166508689
202207,349.636434,FALSE,348.734209583276,348.734209583276
202208,378.37086,FALSE,349.646575417222,349.646575417222
202209,365.329174,FALSE,348.575117550074,348.575117550074
202210,350.642642,FALSE,348.508415328714,348.508415328714
202211,346.31752,FALSE,348.914177300313,348.914177300313
202212,333.58121,FALSE,349,349
202301,326.163896,TRUE,348.808346629675,348.808346629675
202302,327.694039,TRUE,349,349
202303,329.44,TRUE,349.000564929967,349.000564929967
202304,328.020723,TRUE,349,349
202305,323.134261,TRUE,347.314793259071,347.314793259071
202306,298.44,TRUE,315.929947305715,315.929947305715
202307,249.149392,TRUE,261.337855280947,261.337855280947
202308,230.44,TRUE,229.292673939339,229.292673939339
202309,220.767379,TRUE,220.141029500923,220.141029500923
202310,193.027186,TRUE,195.250880575692,195.250880575692
202311,186.840043,TRUE,178.494488115703,178.494488115703
202312,180.025787,TRUE,179.920166680046,179.920166680046
202401,178.56087,TRUE,179.035525960133,179.035525960133
202402,179.119686,TRUE,160.203710929002,160.203710929002
202403,179.062355,TRUE,178.006788288625,178.006788288625
202404,178.54827,TRUE,177.803946942519,177.803946942519
202405,175.97,TRUE,176.079713273707,176.079713273707
202406,177.77,TRUE,185.08728681414,185.08728681414
202407,215.965026,TRUE,213.491180386437,213.491180386437
202408,221.896944,TRUE,222.355431363184,222.355431363184
202409,220.036945,TRUE,220.199562608055,220.199562608055
202410,221.743223,TRUE,221.766092477216,221.766092477216
202411,223.44,TRUE,223.407438133884,223.407438133884
202412,225.243878,TRUE,224.978117536285,224.978117536285
202501,,,225,225
