DUID,cut,q,norm,ratio,lo,hi,price,plo,phi,n_mth
DRYCGT3,ALL,0.3,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.3,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.3,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,ALL,0.3,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.3,MAXAVAIL,69.6482569204835,0.326499777675727,135.073479231579,15490.7,-715.0475,16595.02,30
TORRB3,ALL,0.3,MAXAVAIL,109.649275424084,0.975617195336397,135.073479231579,15490.7,232.4025,16595.02,34
TORRB4,ALL,0.3,MAXAVAIL,1.3836858744066,0.1,133.189508091197,293.91,-999.4,16318.94,34
BARKIPS1,ALL,0.35,MAXAVAIL,140.673197518728,3.76231179965502,159.874214410991,15493.8,560.76,16600,35
DRYCGT1,ALL,0.35,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.35,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.35,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.35,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.35,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,ALL,0.35,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.35,MAXAVAIL,118.309041808419,13.3866269767666,135.073479231579,15490.7,3533.0375,16595.02,30
TORRB3,ALL,0.35,MAXAVAIL,119.833546887291,15.6226737728259,138.976821131214,15490.7,3649.3025,16595.02,34
TORRB4,ALL,0.35,MAXAVAIL,102.811538701734,1.56764266978761,140.277935097759,14006.62,273.2275,16595.02,34
BARKIPS1,ALL,0.4,MAXAVAIL,140.673197518728,3.76231179965502,159.874214410991,15493.8,560.76,16600,35
DRYCGT1,ALL,0.4,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.4,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.4,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.4,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.4,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,ALL,0.4,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.4,MAXAVAIL,118.309041808419,13.3866269767666,135.073479231579,15490.7,3533.0375,16595.02,30
TORRB3,ALL,0.4,MAXAVAIL,119.833546887291,15.6226737728259,138.976821131214,15490.7,3649.3025,16595.02,34
TORRB4,ALL,0.4,MAXAVAIL,109.277252790275,1.84329742775556,140.277935097759,15098.49,348.97,16595.02,34
BARKIPS1,ALL,0.45,MAXAVAIL,140.673197518728,3.76231179965502,159.874214410991,15493.8,560.76,16600,35
DRYCGT1,ALL,0.45,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.45,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.45,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.45,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.45,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,ALL,0.45,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.45,MAXAVAIL,119.833546887291,46.7262598858054,138.976821131214,16042.86,12935.4875,16595.02,30
TORRB3,ALL,0.45,MAXAVAIL,121.358051966162,49.5273550879485,140.277935097759,15490.7,13460.685,16595.02,34
TORRB4,ALL,0.45,MAXAVAIL,121.358051966162,3.08737125381176,140.277935097759,15490.7,560.6125,16595.02,34
BARKIPS1,ALL,0.5,MAXAVAIL,140.673197518728,41.5961806453101,159.874214410991,15493.8,8443.66,16600,35
DRYCGT1,ALL,0.5,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.5,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.5,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.5,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.5,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,ALL,0.5,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.5,MAXAVAIL,121.358051966162,59.6777920185374,138.976821131214,16042.86,12997.7,16595.02,30
TORRB3,ALL,0.5,MAXAVAIL,121.358051966162,82.7120863114212,140.277935097759,15490.7,15098.49,16595.02,34
TORRB4,ALL,0.5,MAXAVAIL,123.415415087028,72.3964356919896,140.277935097759,15490.7,12914.75,16595.02,34
BARKIPS1,ALL,0.55,MAXAVAIL,140.673197518728,41.5961806453101,159.874214410991,15493.8,8443.66,16600,35
DRYCGT1,ALL,0.55,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.55,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.55,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.55,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.55,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,ALL,0.55,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.55,MAXAVAIL,121.358051966162,59.6777920185374,140.277935097759,16042.86,14310.69375,16595.02,30
TORRB3,ALL,0.55,MAXAVAIL,121.358051966162,82.7120863114212,140.277935097759,15490.7,15098.49,16595.02,34
TORRB4,ALL,0.55,MAXAVAIL,123.415415087028,83.0830531890765,140.277935097759,15490.7,12918.955,16595.02,34
BARKIPS1,ALL,0.6,MAXAVAIL,140.673197518728,59.7125014761106,159.874214410991,15493.8,12917.32,16600,35
DRYCGT1,ALL,0.6,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.6,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.6,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
