unit,outcome,base_estimate,base_p,dropped_month,estimate,std.error,p.value,sign_flip,crosses_05,crosses_10
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202201,-0.0387584900826529,0.0223589660008358,0.0920745056040794,FALSE,FALSE,TRUE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202202,-0.0370676399442631,0.0230467275156452,0.117002205670026,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202203,-0.0512825517221311,0.0189755703107869,0.0106595463913941,FALSE,TRUE,TRUE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202204,-0.0364782751546002,0.0226267584495566,0.116169384999186,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202205,-0.0380636192607342,0.0229509026602477,0.106419524575719,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202206,-0.0415723340023854,0.0264676900229509,0.125517364649252,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202207,-0.0374990690801202,0.0226939444410127,0.107663453155985,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202208,-0.0397964161919771,0.023079825350137,0.0937369943408007,FALSE,FALSE,TRUE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202209,-0.0192201014476068,0.0188965187491166,0.316278012872192,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202210,-0.0370044598562358,0.0229006694210445,0.115365596372052,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202211,-0.0365351854829738,0.0233413628556548,0.126784234145095,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202212,-0.0364878093115026,0.0232061388290734,0.125133803517144,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202301,-0.0368607264376932,0.0224629648038994,0.110026701011647,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202302,-0.0372358586072623,0.0223621289269062,0.105076598332791,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202303,-0.038032236432969,0.0230625170521144,0.108339365884046,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202304,-0.0366944510095232,0.0225233162519055,0.112507541094563,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202305,-0.0365083410015953,0.0225017864113434,0.1139416570216,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202306,-0.0371366491244965,0.0225304297542505,0.108505224006998,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202307,-0.0375887243562267,0.0227342892526751,0.107456342606224,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202308,-0.0361010415001121,0.0225005655881384,0.117864925188025,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202309,-0.0367773114380579,0.0226014575854156,0.112926157114989,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202310,-0.0406566408445646,0.0239368739145418,0.0985494893234348,FALSE,FALSE,TRUE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202311,-0.0371554501586068,0.0231304736868997,0.117447823333584,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202312,-0.0368743453765871,0.0224651938069517,0.109934203631416,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202401,-0.0373884428805898,0.022406904292853,0.104378997269225,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202402,-0.0376270346691265,0.022374808875214,0.101797456170528,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202403,-0.0376505814272425,0.0222310723540781,0.099484945685192,FALSE,FALSE,TRUE
