outcome,M1,M2,M3,pct_change_M1_to_M3
a_fixed300,-0.00446133096682218,-0.00445364520125579,-0.0041847437800367,6.2
b_2xSRMC,-0.0483300973186088,-0.0483161889168609,-0.0480156585431128,0.7
