term,estimate,std.error,statistic,p.value,spec,nobs
pi2_8h,-0.45056049313655,0.0769519987902943,-5.85508499089666,9.9687011188302e-06,primary: pi + EP,140259
ep_100,0.147253298899059,0.0856256240019598,1.71973402372739,0.100919428089963,primary: pi + EP,140259
srmc,0.0066341534139722,0.000359204439213214,18.469018446719,4.91122701034879e-14,primary: pi + EP,140259
TOTALDEMAND,9.67997153960746e-05,2.86439202101464e-05,3.37941576033945,0.00297941892041343,primary: pi + EP,140259
nonsync_mw,-0.000179726255742944,3.43989741732367e-05,-5.2247562627253,4.10879621892951e-05,primary: pi + EP,140259
RRP,2.80375646952681e-05,1.07914829805971e-05,2.59811971586103,0.0171967364322066,primary: pi + EP,140259
slope_kernel,0.00068717178934871,0.00104384610408235,0.658307567237418,0.517847484351719,primary: pi + EP,140259
saturatedTRUE,-0.0117993331308234,0.0155314240592222,-0.759707099994945,0.456291931083822,primary: pi + EP,140259
pi2_8h,-0.376529735910363,0.11049742583327,-3.40758830417017,0.00279206194181285,horse race: pi x d_t + pi x allin,140259
srmc,0.00735330440991735,0.00044833251541167,16.4014523978154,4.58480685018187e-13,horse race: pi x d_t + pi x allin,140259
TOTALDEMAND,9.61493515294006e-05,2.92288637131874e-05,3.28953436140661,0.00366330139030741,horse race: pi x d_t + pi x allin,140259
nonsync_mw,-0.000177872854026745,3.38968531099382e-05,-5.2474739601888,3.90156963131455e-05,horse race: pi x d_t + pi x allin,140259
RRP,2.81111684995337e-05,1.06655587660126e-05,2.63569580518503,0.0158517217285312,horse race: pi x d_t + pi x allin,140259
slope_kernel,0.000728542514562985,0.00102870177448846,0.70821547374628,0.486984266018251,horse race: pi x d_t + pi x allin,140259
saturatedTRUE,-0.0131247007562303,0.016507862502913,-0.795057552358115,0.435914316937778,horse race: pi x d_t + pi x allin,140259
pi2_8h:comp_price_100,0.117494192001577,0.0467205439758526,2.51482928071864,0.0205710849432175,horse race: pi x d_t + pi x allin,140259
pi2_8h:allin_100,-0.144543683788668,0.0641617472124341,-2.25280155339437,0.0356582348122478,horse race: pi x d_t + pi x allin,140259
pi_da_8h,-0.472474781365911,0.101475840761313,-4.65603219269938,0.000152184135679518,robustness: day-ahead pi + EP_da,140259
ep_da_100,0.12118620509593,0.115790642363473,1.04659757146454,0.307769863551113,robustness: day-ahead pi + EP_da,140259
srmc,0.0072308043559881,0.000297811964367769,24.2797644860861,2.5887452688099e-16,robustness: day-ahead pi + EP_da,140259
TOTALDEMAND,0.000116222514377683,3.02287893690189e-05,3.84476245339808,0.0010111616526508,robustness: day-ahead pi + EP_da,140259
nonsync_mw,-0.000187953190485668,3.61437580664794e-05,-5.20015627981917,4.34585736025341e-05,robustness: day-ahead pi + EP_da,140259
RRP,2.65830619182019e-05,1.02107222922169e-05,2.60344578546268,0.0169997485275555,robustness: day-ahead pi + EP_da,140259
slope_kernel,0.00083577023960695,0.00101256701718469,0.825397455598245,0.418882953642346,robustness: day-ahead pi + EP_da,140259
saturatedTRUE,-0.0156188882168405,0.0149042280825241,-1.0479501608778,0.307161414522762,robustness: day-ahead pi + EP_da,140259
