dec,n,p_hat,p_obs
1,2168,6.13363721905601e-05,0
2,2168,0.000227543659254889,0.000461254612546126
3,2168,0.000535692392824465,0.000461254612546126
4,2167,0.00103890614235689,0.000922934933087217
5,2168,0.00196404485708847,0.000922509225092251
6,2168,0.00376365165427495,0.00645756457564576
7,2167,0.00672739926817817,0.00692201199815413
8,2168,0.0120172397790143,0.0161439114391144
9,2168,0.0224060869755543,0.0230627306273063
10,2168,0.0700806935147329,0.0608856088560886
