term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-0.231862370077676,0.311963145890317,-0.743236414724437,0.457338560368012
min_fc_slack,-0.598976253299029,0.0621732590000237,-9.6339851397978,5.7456927419237e-22
slack_commit,-0.347332820341619,0.0784074716140899,-4.42984339618985,9.43015424460169e-06
dem_trough,-0.762187211714753,0.201900647120652,-3.77506076669128,0.000159968662843811
ns_share_fc,-0.00333146363708472,0.00571704358799042,-0.582724897197391,0.560078510013974
log_tsl,-0.756053401418973,0.0934773578191204,-8.0880912667851,6.06069861616546e-16
hour_blockh6_12,2.05734491218074,0.163696078947118,12.5680769228771,3.16324864981111e-36
hour_blockh12_18,-1.03401516125527,0.600811997597915,-1.72102948241601,0.0852454741036359
hour_blockh18_24,0.877193915214333,0.243576242229536,3.60131147104117,0.000316615980295577
